-1,0,1,2,3,4,5,6,7,8,9
0,9.79E-07,0.004675781,0.16081317,0.00632705,0.003805713,0.17169987,0.6523094,0.0002265,1.03E-06,0.000140492
1,4.89E-10,5.23E-06,2.46E-11,1.60E-09,5.70E-12,4.23E-10,1.50E-11,2.43E-09,6.36E-11,0.99999475
2,0.7082575,0.000212187,0.28105396,0.000612426,0.002728721,7.40E-05,0.004268244,0.000362493,0.002131078,0.000299443
3,4.25E-05,0.000609628,1.40E-07,3.03E-06,2.39E-08,4.90E-07,3.87E-07,1.44E-07,0.9989513,0.000392356
4,2.56E-08,1.98E-08,1.06E-07,0.048497353,8.55E-08,0.9514983,1.95E-09,4.06E-06,7.74E-10,8.91E-10
5,1.83E-07,1.28E-08,0.99981004,2.77E-05,0.000130491,2.32E-05,2.92E-07,8.14E-06,1.45E-08,1.05E-08
6,3.10E-08,0.9999758,1.25E-06,4.92E-07,2.72E-09,3.70E-06,2.57E-09,5.20E-07,4.05E-08,1.82E-05
7,1.02E-05,1.72E-06,0.999841,3.12E-07,1.33E-07,5.23E-06,0.000140742,3.64E-07,1.27E-07,1.57E-07
8,1.72E-08,6.31E-07,1.64E-06,6.58E-06,1.50E-06,9.14E-07,0.99998856,2.10E-09,1.31E-07,7.40E-08
9,3.74E-08,1.56E-08,0.000104814,0.000885807,1.40E-05,0.00251266,0.99648213,5.21E-07,1.34E-08,1.10E-08
10,0.002777424,0.003691529,0.00163277,0.004031388,6.80E-05,0.03626237,5.99E-06,0.9513331,3.01E-05,0.000167306
11,3.84E-08,3.08E-05,2.06E-10,3.41E-09,2.22E-11,2.45E-09,7.24E-10,3.14E-10,6.66E-07,0.9999684
12,1.52E-07,0.94454914,3.12E-07,3.33E-07,6.71E-08,5.33E-07,1.12E-07,3.83E-08,6.13E-07,0.05544862
13,1.80E-05,1.36E-07,1.02E-05,0.6319705,0.000154848,0.30804622,0.059760768,3.18E-05,5.14E-06,2.44E-06
14,1.54E-10,0.99999964,4.81E-10,1.26E-09,1.99E-12,2.66E-08,1.74E-10,2.87E-10,3.88E-09,3.03E-07
15,0.92929864,0.001081826,0.009678832,0.000215596,0.000803426,3.42E-05,9.05E-05,0.000125093,0.058020975,0.000650961
16,0.008733055,9.85E-05,0.000521355,0.36295083,0.00170203,0.5263731,0.000278155,0.098357834,8.49E-05,0.000900323
17,0.9986203,3.41E-06,2.61E-05,2.67E-06,8.55E-06,3.08E-06,5.61E-08,1.56E-06,0.001316796,1.74E-05
18,1.93E-06,0.000137083,1.48E-08,8.82E-08,9.57E-09,4.16E-08,2.15E-08,1.98E-06,9.05E-07,0.9998579
19,1.24E-05,3.20E-06,0.001260248,0.000308545,0.9948672,8.50E-05,4.57E-06,0.000136866,1.89E-05,0.003302983
20,5.98E-08,3.96E-10,1.46E-06,4.20E-07,7.77E-07,3.75E-05,4.85E-11,0.9999598,1.41E-09,1.54E-09
21,1.30E-05,2.56E-07,2.03E-05,3.25E-05,7.59E-05,0.00062207,1.65E-07,0.9992347,7.22E-07,3.05E-07
22,0.9596836,0.000338081,0.036891986,0.002211792,8.59E-05,0.000100966,0.000149949,0.000126434,0.00019731,0.000214006
23,4.87E-11,1.08E-08,2.56E-12,9.80E-11,2.51E-13,3.98E-12,6.18E-12,1.36E-10,1.85E-10,1
24,0.000776516,0.001211374,1.68E-07,5.83E-07,3.86E-08,7.79E-08,5.02E-07,8.06E-07,9.24E-06,0.9980007
25,4.93E-10,4.77E-08,9.71E-06,0.004051552,1.35E-05,0.9959163,1.61E-07,8.74E-06,4.70E-11,6.01E-09
26,5.54E-05,5.47E-06,2.77E-07,7.81E-07,3.62E-07,1.61E-06,3.48E-07,4.22E-06,0.999928,3.63E-06
27,1.21E-06,4.19E-08,2.77E-05,2.67E-05,0.9999279,1.01E-05,5.79E-06,4.97E-07,3.03E-09,4.24E-08
28,0.001729787,0.06158668,0.047232497,0.12107073,0.001309922,0.5651513,0.19688922,0.002202947,0.002171958,0.000655035
29,0.006822728,0.006078471,0.000418121,9.68E-05,1.89E-06,1.92E-05,8.18E-05,7.12E-06,0.92987627,0.056597624
30,1.28E-06,2.10E-08,0.017055517,0.24148634,0.39086106,0.350239,0.00024418,0.000112314,1.46E-07,1.25E-07
31,3.70E-06,5.70E-08,1.43E-05,0.99779165,0.00016154,0.001979734,2.24E-06,4.64E-05,6.78E-08,2.41E-07
32,3.16E-07,1.15E-08,8.80E-06,0.9975712,0.0001378,0.002246635,6.40E-06,2.87E-05,5.22E-08,6.86E-08
33,0.000573787,0.11518304,3.87E-05,0.000241684,8.66E-07,0.00021179,3.42E-06,2.55E-05,0.015284179,0.86843705
34,7.67E-05,2.58E-07,0.9725777,0.025928466,0.0001585,0.000481487,0.0007658,7.22E-06,3.43E-06,4.93E-07
35,7.02E-08,1.91E-09,3.74E-07,8.59E-07,5.35E-06,6.35E-06,2.22E-09,0.999987,7.22E-09,2.75E-08
36,8.55E-05,2.62E-07,0.000153434,8.59E-05,6.14E-05,7.14E-05,3.72E-06,0.99950945,8.25E-07,2.82E-05
37,1.15E-11,4.99E-08,4.76E-13,2.77E-10,3.14E-13,2.68E-12,1.16E-12,2.68E-11,3.29E-12,1
38,1.05E-06,3.56E-08,1.33E-06,4.75E-07,1.68E-05,5.41E-06,2.43E-09,0.99997437,8.60E-10,4.41E-07
39,3.70E-06,2.64E-06,0.9422729,0.032977656,0.000974938,0.019459749,0.004293329,7.88E-06,2.50E-06,4.78E-06
40,0.000178932,1.14E-05,0.001804345,0.086643465,0.8067434,0.09947515,3.61E-06,0.005134461,4.08E-06,1.14E-06
41,3.18E-06,6.59E-06,1.12E-07,7.82E-08,1.23E-08,2.07E-08,1.81E-07,1.02E-08,0.9999895,3.01E-07
42,1.37E-07,7.66E-10,3.06E-06,0.9999608,4.58E-07,3.03E-05,5.25E-06,2.75E-08,2.09E-09,3.25E-09
43,5.08E-06,2.16E-08,6.96E-06,0.001733106,1.76E-05,0.9979755,1.33E-06,0.000260454,2.26E-08,2.77E-08
44,1.01E-06,1.24E-07,0.9803863,0.011265146,0.004319821,0.00121427,0.002802375,8.10E-06,4.96E-08,2.72E-06
45,5.86E-08,3.55E-07,1.24E-06,0.9795496,2.84E-05,0.020411441,2.81E-08,8.37E-06,2.34E-07,1.60E-07
46,0.5720911,0.003914928,0.026107822,0.08301095,0.027630696,0.015485066,0.017311826,0.11875267,0.004726048,0.13096887
47,7.49E-05,1.38E-06,0.007852389,0.09081019,0.81413645,0.082849234,0.00086653,0.003153426,3.45E-05,0.000220905
48,0.9999536,6.37E-07,1.23E-05,1.76E-06,8.70E-07,2.97E-07,2.46E-09,1.72E-06,1.42E-05,1.46E-05
49,3.36E-07,2.30E-09,3.28E-07,0.004003835,2.30E-06,0.99598783,6.91E-08,4.74E-06,5.89E-07,4.63E-08
50,2.52E-09,0.99999976,5.80E-09,4.18E-09,2.71E-10,3.46E-08,8.34E-09,1.31E-09,6.64E-08,1.15E-07
51,8.44E-08,4.28E-06,0.000400994,0.006862671,0.00021633,0.9924355,1.14E-05,6.81E-05,2.34E-07,4.02E-07
52,0.03346437,9.52E-05,0.000236323,0.06413611,0.000990425,0.020117424,0.8802812,0.000566095,3.84E-05,7.44E-05
53,7.81E-08,5.16E-08,1.30E-05,0.006742506,1.96E-05,0.99318475,2.21E-05,1.76E-05,6.39E-08,1.19E-07
54,3.24E-11,0.99999976,1.12E-09,1.55E-09,2.29E-11,3.74E-09,1.03E-10,4.34E-10,6.68E-11,2.51E-07
55,0.97020805,0.00014035,0.002351548,0.022853345,0.000406858,0.002651202,0.000464243,0.000774033,6.06E-05,8.99E-05
56,0.003298578,2.40E-05,0.07478309,0.6532098,0.1579647,0.08123813,0.001493245,0.02753104,0.000361361,9.60E-05
57,0.9969689,2.40E-05,0.002659425,4.53E-05,8.15E-05,1.34E-05,2.64E-06,5.33E-05,0.000100125,5.14E-05
58,2.21E-08,3.46E-06,5.88E-06,1.71E-06,1.49E-05,0.001458938,3.18E-06,0.9985109,2.53E-08,9.39E-07
59,1.52E-05,1.52E-05,0.001640069,0.000389708,0.000336358,1.24E-05,0.9974564,6.10E-06,7.04E-05,5.82E-05
60,2.14E-09,4.08E-10,6.65E-08,0.9995485,9.08E-10,0.0004513,3.97E-10,7.68E-08,1.08E-10,6.29E-12
61,2.40E-05,1.62E-06,0.000768133,0.000577921,0.99532557,0.000661774,6.40E-05,0.00255025,4.36E-06,2.25E-05
62,5.69E-08,6.64E-06,1.19E-05,0.000257819,6.52E-07,0.9997129,1.61E-08,4.01E-06,4.90E-06,1.22E-06
63,0.007187637,4.15E-05,0.00574161,0.002733631,0.98334646,0.000674652,0.000255,2.59E-06,5.64E-07,1.65E-05
64,9.93E-06,0.9997627,7.71E-05,3.51E-05,1.29E-06,2.77E-05,1.69E-05,1.07E-05,1.06E-05,4.79E-05
65,1.57E-07,1.54E-08,1.90E-06,0.000252878,0.99954623,0.000194925,5.37E-07,2.50E-06,8.21E-07,1.93E-08
66,1.36E-06,2.01E-06,7.97E-05,0.001658046,0.047028285,0.01679251,1.82E-06,0.93443584,1.57E-07,4.19E-07
67,3.95E-11,0.9999993,1.26E-08,7.72E-09,1.94E-10,9.56E-08,1.33E-08,5.17E-09,1.89E-09,6.39E-07
68,1.13E-05,2.84E-08,3.03E-05,0.16591305,5.12E-06,0.83334917,5.30E-06,0.000685631,1.17E-08,9.23E-09
69,0.99793845,3.58E-05,0.000750859,1.08E-05,5.93E-05,1.61E-06,4.87E-07,0.000106998,0.001000827,9.48E-05
70,0.001334336,0.013564889,0.019684948,0.93208164,0.003011994,0.015371144,0.000303618,0.003892452,0.010134979,0.000619943
71,0.99991333,1.67E-06,8.03E-05,1.07E-07,1.06E-06,2.98E-08,1.34E-07,1.13E-06,1.11E-06,1.01E-06
72,7.35E-07,6.54E-06,9.73E-05,0.98936695,0.000191537,0.009545977,1.40E-05,0.000163296,3.44E-05,0.000579096
73,0.069122314,0.000171964,0.000351031,0.000893868,0.000497313,0.000828321,0.000604353,0.000239369,0.92710906,0.000182348
74,8.21E-09,2.07E-08,1.17E-05,0.000283235,4.39E-09,0.9997048,2.31E-07,4.86E-08,5.18E-09,1.45E-09
75,0.000166427,8.83E-06,0.000452339,0.008864561,0.013538709,0.19949901,1.79E-05,0.77744305,3.54E-06,5.66E-06
76,2.11E-07,2.53E-07,7.66E-06,1.09E-05,2.77E-07,0.99902594,9.66E-07,0.000952976,5.46E-08,7.44E-07
77,6.26E-08,3.65E-08,0.000115578,3.16E-05,3.82E-05,8.29E-07,0.9998135,1.15E-07,8.27E-08,3.74E-08
78,0.000155581,6.94E-06,0.99971956,8.89E-06,1.11E-05,6.57E-05,3.53E-06,5.20E-06,8.53E-06,1.49E-05
79,1.34E-05,1.68E-07,1.29E-05,1.04E-06,5.43E-07,9.24E-05,8.25E-08,0.9998784,7.56E-08,8.62E-07
80,0.98333967,1.47E-05,0.01599412,4.67E-05,0.000182337,5.47E-06,2.12E-05,8.46E-06,0.000356207,3.13E-05
81,1.39E-07,7.71E-09,4.57E-06,2.65E-06,2.56E-07,1.20E-07,0.99999213,4.86E-08,2.21E-08,6.37E-08
82,1.26E-07,1.61E-06,0.00025568,0.000716553,4.59E-06,0.000135215,0.998882,3.33E-06,1.10E-07,8.15E-07
83,3.08E-06,3.74E-08,6.17E-05,4.64E-07,1.67E-06,1.34E-05,4.74E-08,0.9999192,2.95E-07,1.81E-07
84,1.28E-07,2.45E-08,9.68E-06,0.000395908,5.12E-07,0.9995473,4.12E-08,4.65E-05,1.63E-08,6.58E-09
85,7.18E-06,6.29E-05,2.53E-05,4.51E-05,1.77E-06,3.72E-05,7.75E-06,6.19E-07,0.99969614,0.000116107
86,1.01E-07,4.18E-07,2.03E-05,0.018243276,1.97E-05,0.9816774,3.11E-05,7.33E-06,1.34E-07,2.32E-07
87,4.01E-09,2.19E-06,3.94E-10,2.29E-09,1.34E-11,1.17E-08,1.62E-09,4.80E-11,3.45E-07,0.9999974
88,1.09E-12,1.15E-09,1.97E-06,0.000696843,1.04E-06,0.9993,4.62E-08,1.56E-08,1.47E-12,2.22E-11
89,8.15E-06,0.9439087,1.61E-08,5.93E-07,1.82E-08,2.27E-07,6.53E-09,4.86E-07,3.29E-07,0.056081545
90,0.000558824,0.011831855,0.000703879,0.033089146,6.01E-05,0.001543651,0.01622716,4.74E-05,0.9358935,4.44E-05
91,9.66E-08,2.96E-06,1.18E-09,1.08E-08,1.58E-10,7.25E-10,4.82E-10,1.45E-08,1.38E-07,0.9999968
92,1.91E-06,2.03E-07,5.61E-08,3.67E-06,0.9998981,9.39E-05,2.20E-09,1.66E-06,4.79E-07,4.50E-08
93,0.001700143,8.34E-05,1.12E-05,0.38812363,0.00044899,0.60884076,5.86E-06,0.000656199,0.000114719,1.51E-05
94,3.62E-07,0.9999287,9.03E-07,9.51E-07,1.39E-08,3.43E-05,9.84E-07,1.96E-07,2.82E-05,5.31E-06
95,0.000142947,0.032215156,0.000736501,0.000652732,7.09E-06,0.002318431,2.51E-05,1.32E-05,0.040490434,0.9233984
96,2.59E-06,9.05E-05,6.15E-05,8.53E-05,5.50E-05,1.97E-05,0.9992387,4.72E-05,4.63E-06,0.000394759
