-1,0,1,2,3,4,5,6,7,8,9
0,0.000272908,2.32E-07,0.9995919,5.28E-05,1.96E-05,1.40E-05,1.54E-05,3.13E-05,1.44E-06,3.85E-07
1,1.09E-06,6.00E-06,5.73E-05,5.81E-06,7.67E-07,2.19E-05,1.51E-07,0.9998609,4.41E-06,4.17E-05
2,6.72E-06,0.05200687,1.47E-05,3.86E-05,4.14E-06,1.66E-05,3.44E-06,7.52E-06,4.08E-05,0.9478606
3,0.014461882,2.75E-06,0.9242333,0.025327517,0.005104468,0.024113286,0.006569696,0.000150506,1.50E-07,3.65E-05
4,2.58E-12,7.98E-10,2.64E-06,2.72E-06,3.52E-09,0.9999945,7.44E-11,1.06E-07,1.21E-11,1.56E-11
5,2.50E-09,8.91E-11,1.42E-06,0.000262239,0.99656457,0.003171316,7.11E-09,4.96E-07,3.53E-10,3.57E-11
6,6.78E-06,0.000235392,7.86E-07,3.77E-06,1.06E-06,2.72E-07,4.18E-07,2.66E-06,1.34E-05,0.99973553
7,0.008258277,0.000561368,0.2291616,0.0399993,0.598497,0.113465145,0.000380089,0.008377073,0.000634591,0.000665634
8,8.12E-09,3.75E-06,4.60E-06,1.47E-05,7.51E-10,0.9999765,1.19E-08,2.34E-07,2.23E-08,1.45E-07
9,8.89E-08,1.29E-07,4.86E-06,0.028756883,4.77E-05,0.97095877,1.96E-07,0.000231386,2.81E-09,4.68E-08
10,1.05E-08,0.9999976,4.08E-09,6.43E-09,3.46E-09,3.52E-08,1.96E-09,6.28E-08,5.62E-10,2.29E-06
11,1.51E-10,1.48E-08,4.48E-08,3.47E-06,8.51E-09,0.9999963,1.59E-09,1.58E-07,1.99E-09,9.60E-10
12,1.91E-07,2.36E-09,0.99999917,1.32E-07,1.00E-08,3.80E-07,5.53E-08,1.06E-08,3.72E-09,1.99E-09
13,3.75E-08,0.99999857,1.86E-08,4.42E-08,1.89E-09,1.13E-07,2.83E-09,1.38E-07,8.75E-09,1.11E-06
14,1.81E-11,6.21E-11,3.86E-11,7.34E-10,7.35E-12,1.53E-10,1,1.01E-12,3.85E-11,5.82E-12
15,0.00080101,3.80E-05,0.001852159,0.000162173,3.49E-06,0.000460079,5.39E-05,1.87E-05,0.9957712,0.000839392
16,2.56E-06,6.86E-07,5.89E-05,0.000106066,0.99720275,0.000110089,4.89E-06,0.002506423,6.54E-06,1.05E-06
17,7.07E-06,1.96E-05,8.55E-08,1.01E-06,4.70E-09,9.22E-08,2.07E-07,1.22E-06,6.85E-06,0.9999639
18,0.99967337,0.000304249,1.94E-06,4.54E-07,5.45E-06,6.72E-08,2.47E-09,3.56E-06,4.92E-06,6.01E-06
19,1.81E-07,0.9648922,2.60E-05,4.71E-05,3.41E-05,0.000687506,3.44E-05,0.000534524,2.87E-06,0.03374116
20,0.000723923,1.22E-05,0.002596844,0.003337567,0.000510016,0.9919165,3.44E-05,0.000564862,0.000164398,0.00013934
21,1.28E-05,1.31E-07,1.21E-05,0.38722038,1.48E-06,0.61275077,2.23E-07,1.76E-06,3.00E-07,1.95E-08
22,1.52E-07,2.24E-08,1.68E-06,7.10E-05,0.99974686,0.000174853,6.96E-07,3.58E-06,9.86E-07,5.41E-08
23,0.000342217,3.41E-05,0.000586904,0.007330959,5.66E-05,0.019788539,0.002853765,0.96899194,6.24E-06,8.73E-06
24,6.97E-10,2.45E-09,1.65E-07,1.26E-05,6.54E-09,0.99998724,7.45E-09,2.12E-08,6.29E-09,1.12E-09
25,9.71E-07,2.36E-05,3.39E-08,1.40E-08,1.22E-09,2.07E-08,1.45E-06,4.40E-09,0.9999715,2.35E-06
