-1,0,1,2,3,4,5,6,7,8,9
0,0.000487394,0.1708473,0.09573922,0.091272846,2.87E-06,0.6400763,0.000777622,0.000138525,8.12E-05,0.00057667
1,4.76E-08,0.9999877,1.66E-07,7.64E-08,4.26E-10,4.47E-07,2.07E-09,2.91E-08,1.99E-08,1.16E-05
2,3.03E-10,2.69E-10,1.58E-07,4.68E-07,0.999998,1.25E-06,3.38E-08,7.37E-08,8.11E-11,1.75E-10
3,1.24E-08,7.16E-08,3.61E-07,9.27E-05,1.66E-07,0.9999049,6.15E-09,1.62E-06,2.16E-07,1.82E-08
4,0.068021595,0.020441012,0.000486761,0.00820763,0.000102393,0.002717443,0.002057054,0.000205572,0.89757216,0.000188451
5,2.32E-07,7.62E-09,4.75E-06,5.85E-05,1.93E-06,2.99E-05,0.99990463,6.85E-08,4.66E-08,2.97E-09
6,4.54E-07,0.000420178,4.77E-08,5.22E-07,8.93E-09,1.60E-06,5.70E-08,1.96E-05,9.63E-08,0.9995573
7,2.16E-06,1.15E-07,0.000110954,0.102987796,8.08E-05,0.8962891,2.37E-05,0.000505366,2.36E-08,5.11E-08
8,4.96E-05,0.9994362,1.28E-05,2.99E-07,7.65E-08,4.40E-06,3.89E-07,1.24E-05,4.41E-07,0.000483346
9,3.19E-08,1.04E-09,4.31E-07,0.000460047,0.99743974,0.002090358,1.65E-06,7.79E-06,8.89E-09,4.87E-09
10,7.36E-06,0.00021174,0.000184878,0.000851859,0.000358491,0.9981054,1.96E-05,0.000170175,1.04E-05,8.01E-05
11,1.02E-05,1.79E-07,1.62E-06,7.00E-06,9.16E-08,9.60E-06,2.06E-09,0.9999713,5.39E-09,1.69E-07
12,1.07E-07,5.50E-06,0.000291099,0.000259398,0.99308115,0.000692751,1.21E-05,0.005656385,6.35E-08,1.52E-06
13,2.61E-06,5.76E-05,0.000101003,0.00054364,0.000399413,0.9988061,3.58E-06,1.15E-05,5.88E-05,1.57E-05
14,1.40E-07,0.97920746,1.80E-08,1.19E-07,1.58E-11,2.21E-07,6.62E-09,2.21E-06,1.58E-07,0.02078964
15,0.99604744,1.20E-06,0.003788006,2.01E-05,0.000116617,3.56E-06,1.18E-05,2.15E-06,3.51E-06,5.68E-06
16,1.20E-09,0.99999917,2.04E-08,4.50E-09,1.75E-10,8.25E-08,5.22E-09,2.42E-09,2.02E-08,7.05E-07
17,1.20E-07,3.44E-07,0.000151528,0.001280168,7.16E-05,0.99841774,7.70E-06,6.46E-05,7.78E-07,5.54E-06
18,0.9875721,0.000873766,0.000355317,0.000234452,2.56E-05,1.81E-05,1.67E-06,6.12E-05,0.002233799,0.008623936
