-1,0,1,2,3,4,5,6,7,8,9
0,0.000911249,4.88E-06,0.00351797,0.01227439,0.001181762,0.048276242,1.41E-05,0.9337233,4.25E-05,5.36E-05
1,2.52E-08,3.96E-07,6.32E-07,3.70E-07,3.42E-08,1.31E-07,0.9999981,2.12E-07,1.02E-07,7.17E-08
2,3.87E-05,0.000182086,0.000120964,8.73E-07,1.46E-06,4.72E-05,5.11E-06,1.95E-05,0.000891603,0.9986926
3,1.55E-07,8.91E-08,1.93E-05,0.000223014,1.45E-05,2.09E-05,0.9997218,1.53E-07,4.11E-08,3.26E-08
4,0.008231065,0.000901842,0.015107871,0.46527213,0.000773664,0.034892894,0.058136307,0.008477118,0.40732086,0.000886204
5,0.000191462,0.00037511,2.94E-05,3.81E-05,8.75E-07,9.89E-06,1.63E-06,5.76E-07,0.9935283,0.005824665
6,2.23E-08,1.17E-09,9.80E-07,3.28E-07,2.35E-05,0.000108465,3.39E-09,0.9998667,1.90E-09,2.52E-09
7,0.89128065,3.71E-05,0.094267115,0.000727759,0.000911474,0.002163574,1.07E-05,0.010525294,5.24E-06,7.11E-05
8,0.000355678,8.38E-06,0.9987245,0.000353479,0.000148869,0.000175801,0.000174668,4.30E-05,5.00E-06,1.05E-05
9,2.12E-09,1,4.15E-09,9.72E-10,3.37E-10,1.02E-08,3.80E-10,2.27E-09,1.56E-08,2.10E-08
10,2.49E-06,0.000236618,0.000279073,0.003076393,0.00032707,0.000164104,0.9946567,8.62E-06,0.001121511,0.000127588
11,4.13E-07,8.64E-07,1.38E-08,3.11E-07,9.29E-09,4.76E-08,1.06E-07,1.83E-08,0.999998,2.80E-07
12,1.61E-07,1.01E-06,4.83E-10,2.61E-10,2.34E-11,2.12E-10,1.65E-09,1.50E-10,0.9999988,5.03E-08
13,0.004342585,1.97E-05,0.000424175,0.001830017,0.989284,0.000513981,6.13E-06,0.00087199,0.001942282,0.000765202
14,6.77E-06,9.03E-05,2.04E-08,3.69E-08,2.61E-09,1.77E-08,3.15E-08,2.44E-08,1.80E-05,0.9998847
15,6.02E-08,3.19E-11,1.65E-07,3.48E-08,3.84E-07,8.69E-07,1.22E-10,0.99999845,1.21E-10,8.21E-10
