-1,0,1,2,3,4,5,6,7,8,9
0,2.81E-07,7.85E-09,0.000165708,0.30471066,0.000306872,0.6939602,0.000852795,3.43E-06,3.80E-08,6.74E-08
1,0.90135664,0.08351932,0.000117632,3.54E-06,6.82E-07,1.36E-07,1.02E-06,1.83E-05,0.008394551,0.006588116
2,1.27E-05,3.87E-07,3.83E-05,0.000649234,8.80E-06,9.40E-05,0.9991906,2.80E-06,3.73E-07,2.55E-06
3,2.13E-05,2.83E-07,7.69E-07,5.88E-07,2.92E-08,1.07E-06,1.56E-09,1.06E-07,0.9999628,1.30E-05
4,5.35E-05,2.98E-05,0.001375853,0.99361694,0.000375326,0.003000255,0.000151506,0.001341622,3.71E-05,1.81E-05
5,2.26E-06,2.41E-08,0.000148876,8.64E-05,0.9997321,1.99E-05,2.04E-06,8.23E-06,6.17E-08,4.90E-08
6,0.98333967,1.47E-05,0.01599412,4.67E-05,0.000182337,5.47E-06,2.12E-05,8.46E-06,0.000356207,3.13E-05
7,0.006865765,0.010661285,3.77E-05,9.43E-05,1.30E-06,0.000216927,0.000437111,1.39E-05,0.9785786,0.003093157
8,0.00719582,4.58E-05,1.26E-05,1.69E-06,6.97E-07,2.42E-07,9.97E-07,2.26E-07,0.9925857,0.000156182
9,0.9318762,5.72E-05,0.000914489,0.00012985,0.01070679,0.000210949,0.000410063,0.000115065,0.055360336,0.000218986
10,9.52E-06,1.16E-06,0.009107294,0.9853477,0.000539269,0.004619976,0.000303303,1.13E-05,5.82E-05,2.13E-06
11,0.0432506,0.008485157,0.01010964,0.90756285,5.60E-06,0.011301751,0.004027742,0.002424185,0.002303499,0.010528986
12,3.82E-07,1.63E-08,0.000656648,0.00026174,3.01E-06,0.99899596,2.71E-09,8.23E-05,2.16E-08,8.52E-09
13,0.001063082,6.83E-05,1.11E-05,2.50E-05,1.78E-06,8.40E-07,7.41E-07,6.35E-07,0.9988217,6.89E-06
14,2.63E-06,6.08E-08,7.12E-06,0.001603213,0.9979802,0.000341583,1.49E-05,4.80E-05,1.34E-06,9.99E-07
15,4.42E-10,1.98E-09,1.38E-07,0.9982344,4.46E-06,0.001760383,5.00E-07,1.10E-07,1.08E-08,2.45E-09
16,3.68E-07,9.36E-07,1.70E-05,1.23E-05,0.9971602,0.000387198,7.82E-07,0.002420314,2.80E-07,7.76E-07
17,9.82E-05,0.000261601,1.80E-06,0.000104964,4.86E-08,7.53E-07,0.99833196,3.67E-07,3.29E-05,0.001167432
18,1.28E-07,3.75E-07,0.000208578,0.9994692,5.53E-05,7.65E-05,8.02E-05,1.16E-06,0.000108091,4.31E-07
19,1.04E-08,0.9999956,1.13E-08,1.05E-08,2.63E-09,2.58E-08,3.07E-09,3.03E-09,9.29E-10,4.45E-06
20,1.60E-07,1.15E-06,7.21E-07,1.68E-05,1.83E-10,5.22E-07,0.9999801,8.05E-10,7.98E-08,5.01E-07
21,1.07E-08,6.57E-08,1.99E-06,0.000357561,0.9990195,0.000309697,7.18E-08,0.000310953,1.55E-08,1.06E-07
22,7.48E-05,2.99E-07,0.04276648,0.8494314,0.000378516,0.10660001,0.000558433,0.000182535,6.84E-06,6.79E-07
23,1.07E-05,0.99962986,1.50E-08,3.87E-08,2.99E-09,1.64E-08,1.68E-07,6.21E-09,4.18E-05,0.000317441
24,0.000142947,0.032215156,0.000736501,0.000652732,7.09E-06,0.002318431,2.51E-05,1.32E-05,0.040490434,0.9233984
25,1.06E-05,7.97E-08,0.003448631,0.9950669,2.02E-05,0.001439208,2.61E-06,1.15E-05,1.84E-07,7.48E-08
26,1.93E-08,2.01E-07,7.21E-07,9.48E-07,6.53E-06,0.000159735,1.45E-07,0.99983156,2.90E-08,5.80E-08
27,7.55E-08,0.9989166,8.89E-08,9.53E-07,1.65E-08,8.93E-07,3.12E-07,1.80E-06,7.10E-07,0.001078522
28,0.97525996,0.003566129,0.000433045,0.000779863,0.002260017,0.000156427,1.97E-06,0.010947411,0.001989696,0.00460535
29,5.89E-05,0.000182301,0.005114261,0.5346952,5.04E-06,0.4594572,7.92E-05,4.05E-05,0.000306195,6.12E-05
30,1.10E-09,1.08E-08,5.14E-08,3.23E-05,5.27E-09,0.9999447,4.69E-09,2.29E-05,7.14E-09,1.30E-08
31,8.70E-12,5.51E-10,3.83E-09,1.69E-08,4.64E-11,4.73E-10,1,4.08E-11,1.79E-10,4.74E-09
32,2.05E-08,2.20E-07,4.57E-06,0.000511554,1.17E-05,7.10E-05,0.9993999,8.51E-07,3.28E-08,1.91E-07
33,0.003877408,0.010229554,0.00464078,0.23325887,0.6799059,0.032893285,3.02E-05,0.029689431,0.001076974,0.004397544
34,0.0759342,0.004665257,0.16408218,0.31249288,0.007831356,0.19309567,0.001376923,0.0427775,0.004261671,0.19348238
