-1,0,1,2,3,4,5,6,7,8,9
0,2.04E-05,1.13E-07,1.75E-05,0.9986338,4.96E-05,0.001274745,1.53E-07,1.88E-06,3.77E-07,1.33E-06
1,9.71E-05,6.97E-08,0.99923766,0.000606193,1.90E-06,4.07E-05,1.44E-06,5.43E-06,9.07E-06,4.29E-07
2,6.59E-09,5.64E-09,7.08E-06,0.7743921,1.65E-05,0.2255832,1.98E-08,1.07E-06,5.11E-10,3.07E-11
3,5.53E-05,2.02E-06,0.001140544,1.58E-05,0.000156217,0.011770424,1.24E-07,0.98685735,2.98E-08,2.36E-06
4,0.000106665,3.97E-06,4.95E-05,0.000147353,0.99923337,6.23E-05,0.000275243,4.28E-05,4.40E-05,3.49E-05
5,9.89E-08,2.46E-05,4.70E-09,1.11E-07,7.58E-10,3.34E-08,4.02E-09,5.61E-08,6.76E-08,0.99997497
6,5.65E-05,1.35E-05,0.000162355,0.000426201,0.97613007,0.000547327,1.99E-06,0.02264089,9.21E-06,1.19E-05
7,0.002393015,1.15E-05,0.99750537,2.35E-05,1.83E-06,3.96E-05,1.45E-05,8.87E-06,9.03E-07,8.54E-07
8,7.87E-05,0.000358846,6.15E-05,3.73E-05,1.04E-05,9.91E-05,6.39E-06,0.000103877,0.000146305,0.9990976
9,0.006074332,0.002098244,7.07E-05,1.70E-05,5.06E-06,2.06E-06,2.59E-05,3.61E-06,0.9912668,0.000436307
10,5.28E-06,1.67E-07,1.02E-06,4.46E-06,4.63E-07,6.29E-07,1.91E-08,3.59E-07,0.999987,5.54E-07
11,8.22E-09,1.41E-06,5.69E-05,0.000107147,7.70E-08,0.999833,1.70E-07,1.91E-07,9.64E-07,6.29E-08
12,1.16E-05,6.24E-06,0.02886183,0.001542038,0.003481042,0.037840053,0.050853502,0.8773493,5.54E-06,4.88E-05
13,4.79E-09,0.000114241,1.15E-09,3.94E-08,8.27E-11,3.98E-09,7.10E-10,3.62E-08,4.00E-09,0.9998857
14,9.46E-06,1.66E-05,1.93E-05,0.000275162,0.9926186,0.006916089,1.55E-06,0.000142029,1.55E-07,1.17E-06
15,6.34E-07,1.18E-08,0.9969056,0.001283656,0.000813505,0.000328089,0.000663004,5.20E-06,1.56E-07,1.13E-07
16,0.99988234,5.84E-08,1.79E-06,1.38E-06,8.64E-07,3.20E-07,4.43E-08,0.00011109,1.51E-07,2.03E-06
17,2.07E-05,2.26E-07,3.68E-07,7.63E-07,7.35E-07,2.17E-06,4.27E-08,0.99997187,1.88E-07,3.04E-06
18,0.9853404,0.000941408,0.009636558,1.00E-05,5.04E-05,3.83E-06,1.45E-06,9.90E-06,0.000309321,0.003696648
19,3.12E-05,1.53E-06,0.002464813,0.9371715,0.000328042,0.05991964,4.00E-06,2.78E-05,5.06E-05,7.23E-07
20,1.26E-06,7.82E-06,0.006120282,0.061147638,0.000443022,0.001303041,0.93053,3.41E-05,2.68E-06,0.000410078
21,3.25E-07,1.14E-05,0.46768183,0.000325457,4.07E-05,0.53188455,3.15E-05,1.63E-05,1.28E-06,6.57E-06
22,3.51E-08,4.08E-07,0.000317095,0.000773492,0.000275101,0.025936738,1.56E-05,0.97267735,5.64E-07,3.56E-06
23,2.05E-05,0.14952539,5.70E-06,0.000245371,2.15E-06,6.29E-06,2.08E-06,4.71E-05,1.50E-05,0.8501305
24,1.27E-05,1.55E-06,5.77E-05,0.9975419,2.40E-05,0.002274886,4.09E-06,7.98E-05,3.07E-07,3.19E-06
25,5.24E-07,0.99963224,8.68E-08,1.76E-07,4.40E-09,8.55E-08,1.75E-08,1.66E-08,3.09E-07,0.000366612
26,8.45E-06,0.99983287,2.37E-06,3.77E-07,2.51E-07,6.88E-07,1.09E-06,2.48E-07,8.48E-06,0.000145139
