-1,0,1,2,3,4,5,6,7,8,9
0,5.09E-09,0.9999994,1.81E-08,2.91E-09,4.53E-10,7.72E-08,1.27E-10,8.12E-08,2.82E-09,4.84E-07
1,0.99979955,1.66E-06,0.000161412,7.98E-07,1.45E-05,2.02E-07,7.28E-08,4.36E-07,1.98E-05,1.58E-06
2,1.20E-06,2.31E-07,0.001070383,0.000237522,3.33E-06,0.000945651,5.52E-06,0.9977344,2.65E-07,1.50E-06
3,6.77E-06,9.03E-05,2.04E-08,3.69E-08,2.61E-09,1.77E-08,3.15E-08,2.44E-08,1.80E-05,0.9998847
4,0.000249414,1.85E-05,2.68E-07,1.84E-08,2.71E-08,4.89E-08,4.09E-08,1.76E-06,3.58E-05,0.9996941
5,0.000464213,5.65E-05,1.50E-05,4.95E-06,5.98E-06,6.76E-05,1.59E-05,2.51E-05,0.001825765,0.9975189
6,1.87E-05,0.99988747,5.24E-08,1.28E-07,1.24E-08,2.00E-07,2.42E-08,1.86E-06,6.91E-07,9.07E-05
7,5.99E-08,1.64E-08,3.20E-07,4.32E-06,0.9999906,3.96E-06,2.43E-08,5.75E-07,1.56E-07,1.38E-08
8,3.14E-07,8.15E-08,7.45E-06,0.048071593,3.59E-05,0.95133483,5.08E-07,0.000549089,6.78E-08,1.90E-07
9,2.96E-09,2.87E-10,8.68E-08,0.99989724,3.63E-07,9.59E-05,2.06E-09,6.39E-06,1.23E-08,9.07E-10
10,0.23838581,0.000997293,0.7569339,4.73E-05,6.35E-05,1.51E-05,3.39E-05,8.49E-05,0.002530311,0.000908014
11,1.08E-05,1.09E-05,0.001044191,0.09172293,1.53E-05,0.9038148,3.41E-05,0.003314392,1.66E-06,3.09E-05
12,0.055815294,8.03E-05,0.5684942,0.005581557,0.012918726,0.001540599,0.35455176,5.64E-05,0.000894107,6.70E-05
13,4.20E-05,2.29E-06,0.0169,0.027455794,0.93315893,0.005515526,0.000292129,0.016612185,1.45E-05,6.62E-06
14,0.001548589,9.06E-06,0.76629084,0.001166893,0.22772679,0.002577046,3.29E-05,9.38E-05,0.000514549,3.95E-05
15,3.30E-05,2.27E-05,0.060921017,0.005009795,0.005107279,0.54089814,0.008252885,0.3797484,3.50E-06,3.35E-06
16,2.77E-05,7.60E-07,0.9940859,0.00203901,0.002811122,0.000696391,0.000233147,5.12E-06,9.93E-05,1.61E-06
17,5.40E-11,0.9999999,2.18E-09,1.14E-09,5.02E-12,1.21E-08,2.69E-11,3.73E-11,6.61E-10,6.50E-08
18,8.21E-08,2.14E-08,1.19E-06,7.22E-08,1.91E-07,8.82E-07,6.96E-09,0.9999976,4.85E-09,1.20E-08
19,1.90E-06,0.99797326,5.60E-08,1.36E-07,1.10E-07,2.53E-07,1.07E-08,6.05E-07,8.26E-08,0.002023588
20,2.48E-08,3.50E-10,1.01E-06,0.9998005,6.61E-07,0.000189445,8.24E-06,1.33E-07,2.66E-09,1.69E-09
21,1.52E-07,2.25E-08,1.60E-06,2.34E-05,1.28E-08,2.12E-06,0.9999727,4.28E-09,3.09E-08,6.01E-09
22,3.42E-06,1.58E-07,3.62E-05,0.000101189,2.87E-05,1.99E-05,0.9998066,2.68E-06,6.60E-07,5.02E-07
23,1.24E-06,1.69E-08,0.9997769,0.000102883,3.57E-06,1.32E-05,0.000101773,2.68E-07,7.20E-08,8.21E-08
24,8.88E-07,3.70E-07,3.05E-05,8.54E-05,8.13E-06,0.99962115,1.01E-08,0.000252071,2.42E-07,1.21E-06
25,1.74E-09,1.29E-07,1.06E-06,0.00092314,1.23E-06,0.9987728,4.56E-08,0.000301567,8.97E-09,1.27E-07
26,0.99832636,0.000121744,0.001366528,2.38E-05,2.38E-05,1.90E-06,3.93E-06,1.72E-05,4.09E-05,7.38E-05
27,0.001706133,4.77E-06,0.000486814,0.006884792,0.001271525,0.00907471,0.9781993,0.002332006,2.73E-05,1.26E-05
28,0.999331,9.08E-05,0.000287255,2.38E-07,3.52E-07,5.97E-08,6.63E-06,1.04E-07,0.000253507,3.01E-05
29,6.62E-06,9.80E-06,4.12E-06,0.99507,1.62E-05,0.004517874,0.000334016,2.82E-05,8.05E-06,5.06E-06
30,8.99E-06,0.000391175,6.16E-05,2.72E-05,1.15E-05,5.33E-05,0.99944097,6.80E-07,1.94E-06,2.57E-06
31,2.55E-07,1.58E-08,5.86E-06,6.90E-05,0.9997954,8.36E-05,1.65E-07,4.57E-05,1.54E-08,1.35E-07
32,4.25E-06,1.86E-08,3.61E-05,0.7765091,0.000466093,0.22289962,1.97E-06,8.28E-05,3.50E-08,7.41E-09
33,3.22E-07,0.99998355,2.89E-07,6.62E-07,3.12E-08,6.18E-07,8.64E-07,1.57E-07,8.63E-08,1.34E-05
34,2.47E-10,2.09E-08,4.96E-06,3.61E-06,3.23E-08,0.99999106,1.24E-08,3.27E-07,5.35E-08,1.06E-09
35,0.016093682,0.015182159,0.000278543,0.000163027,3.04E-05,1.87E-05,9.88E-06,0.00010858,0.48449498,0.48361993
36,9.41E-07,2.62E-05,2.84E-05,0.99701536,1.74E-06,0.002879551,1.63E-05,1.26E-06,7.62E-06,2.27E-05
37,0.000156058,3.67E-07,1.70E-05,0.001493657,0.9900476,0.008219822,1.17E-06,6.39E-05,5.43E-08,3.94E-07
38,0.000182792,2.23E-05,5.07E-06,5.62E-06,1.93E-07,9.61E-07,6.53E-06,5.45E-07,0.99976474,1.12E-05
