-1,0,1,2,3,4,5,6,7,8,9
0,0.03240785,4.56E-05,0.4139435,0.058764156,0.44080582,0.00392489,0.007639654,0.04170214,9.59E-05,0.000670428
1,1.69E-06,5.58E-07,0.006600271,3.48E-05,5.32E-05,0.013200378,2.36E-06,0.9801067,5.25E-08,6.28E-08
2,3.96E-08,1.39E-07,0.000167508,0.006308993,0.003109671,0.000786472,0.9896253,1.31E-06,1.76E-07,4.65E-07
3,2.27E-07,2.09E-07,2.93E-05,2.16E-05,0.000550199,0.000399864,5.50E-08,0.9989981,2.39E-08,4.69E-07
4,6.21E-06,4.65E-07,3.85E-07,2.74E-06,0.9992016,1.20E-06,1.33E-07,0.000785902,3.86E-07,9.96E-07
5,4.06E-07,0.99996066,5.68E-07,6.39E-07,1.02E-08,2.09E-06,5.03E-07,7.62E-07,8.05E-06,2.64E-05
6,3.63E-09,0.99993587,1.38E-09,1.35E-08,2.47E-10,1.43E-08,1.16E-09,2.18E-09,1.16E-09,6.42E-05
7,0.000781471,3.50E-06,0.01176236,0.97038424,2.25E-05,0.016788471,0.000108918,0.00013909,7.67E-06,1.82E-06
8,0.06983609,5.31E-05,0.9243185,0.001519819,0.000611255,0.000580732,0.001247115,0.001504906,0.000290673,3.78E-05
9,5.29E-07,0.99997985,1.79E-05,2.62E-07,2.38E-08,4.91E-07,9.50E-09,5.99E-07,1.01E-07,2.74E-07
10,6.94E-09,2.21E-07,0.001007613,0.000569272,0.01203982,0.008309146,0.9780723,7.62E-07,5.55E-08,9.28E-07
11,6.05E-06,0.000343236,0.000328751,0.004535229,0.000466967,0.9886924,0.000826193,0.003836917,0.000178091,0.000786192
12,3.13E-05,1.53E-07,0.000384382,7.80E-06,0.99948645,2.75E-05,2.38E-08,6.21E-05,4.75E-09,1.00E-07
13,4.12E-07,1.78E-08,5.08E-05,0.9908359,9.54E-05,0.008946558,5.16E-05,1.93E-05,7.41E-09,1.06E-08
14,0.80710053,2.40E-05,0.19165051,0.000259147,0.000304988,2.70E-05,0.000249949,6.54E-05,0.000245405,7.30E-05
15,1.87E-08,0.9998267,3.80E-10,8.91E-09,1.37E-09,2.63E-09,3.09E-10,2.58E-08,4.62E-10,0.000173337
16,3.21E-06,0.000290553,7.27E-09,4.42E-07,4.94E-10,1.25E-07,1.50E-09,1.28E-06,0.000282722,0.9994217
17,1.69E-09,2.33E-08,2.14E-06,5.88E-05,9.24E-06,0.9999238,3.96E-07,5.49E-06,2.45E-08,3.23E-08
18,8.79E-05,3.03E-05,0.8788939,0.002838021,3.13E-05,0.11723788,0.000359413,0.000489793,1.77E-05,1.38E-05
19,2.42E-06,1.03E-05,0.005312944,0.4416228,0.022030123,0.49472427,0.03589701,0.000394829,4.05E-06,1.25E-06
20,2.13E-10,1,2.49E-10,1.31E-10,9.97E-11,2.58E-09,3.32E-11,2.62E-09,9.67E-11,1.31E-08
21,3.34E-07,0.000269451,6.79E-08,1.45E-06,3.11E-08,8.98E-07,1.55E-07,6.54E-07,8.04E-06,0.99971896
22,0.9326314,0.000416961,0.020013794,0.034286767,7.78E-06,0.010605125,2.42E-05,0.001922046,4.39E-05,4.80E-05
23,3.52E-09,3.26E-07,1.07E-06,0.0001551,6.31E-05,0.9985642,3.05E-06,0.001210918,1.15E-06,1.13E-06
24,4.58E-09,1.73E-08,4.08E-07,7.34E-07,6.60E-08,3.64E-07,0.99999833,1.45E-08,4.38E-09,2.85E-08
25,6.35E-08,1.63E-08,7.05E-07,9.02E-07,1.03E-06,5.42E-08,0.99999714,1.02E-08,6.38E-08,3.45E-08
26,1.58E-05,0.000630327,2.16E-05,1.93E-05,3.16E-07,3.47E-05,3.35E-05,4.70E-06,0.9991055,0.000134182
27,3.22E-11,4.99E-07,7.46E-08,0.000384661,9.48E-10,0.9996147,1.27E-09,2.41E-08,1.28E-09,1.01E-09
28,0.016609287,0.000246194,0.002491376,0.091593646,0.87368894,0.013157592,0.000124059,0.00201435,3.80E-05,3.66E-05
29,1.39E-07,3.66E-07,3.09E-06,0.9246214,2.61E-05,0.07522909,0.000112718,3.83E-06,1.93E-06,1.39E-06
30,9.52E-08,3.13E-06,1.11E-09,1.54E-09,6.82E-11,2.13E-10,2.37E-10,4.13E-10,1.30E-07,0.99999666
31,1.83E-08,1.80E-08,2.57E-06,4.43E-05,0.99955565,0.000385008,7.17E-07,1.18E-05,3.08E-08,1.63E-08
32,0.94262356,2.74E-05,0.056632485,0.000101881,0.000247781,1.71E-05,0.000113493,2.81E-05,0.000136249,7.19E-05
33,8.55E-07,5.92E-08,3.03E-05,0.000179204,9.08E-07,5.77E-06,0.99978095,4.03E-07,3.35E-07,1.23E-06
