-1,0,1,2,3,4,5,6,7,8,9
0,1.30E-05,1.61E-08,1.30E-05,0.027633779,0.006142583,0.96473056,4.40E-05,0.001422319,1.37E-07,5.48E-07
1,3.26E-05,1.21E-05,0.9983827,0.000567051,3.37E-05,0.000702568,3.96E-05,0.000118826,0.000102402,8.38E-06
2,7.24E-07,2.08E-07,0.000192735,0.001023482,0.002030752,0.99148315,8.81E-06,0.005259296,1.60E-07,5.84E-07
3,0.9955059,1.07E-05,0.000226658,0.000105194,2.98E-05,0.000893043,9.51E-07,0.000216916,0.002137014,0.000873893
4,1.99E-08,1.36E-08,2.44E-05,2.68E-05,4.04E-05,0.000193985,2.80E-08,0.99971443,5.48E-09,1.18E-08
5,1.55E-05,1.27E-06,4.26E-05,8.57E-06,8.15E-06,0.000250862,2.97E-08,0.9996716,9.15E-08,1.34E-06
6,2.73E-07,3.45E-06,0.000103306,0.000103076,3.36E-05,8.59E-05,0.99966717,7.90E-07,9.70E-07,1.39E-06
7,0.99764365,4.81E-07,0.002130462,2.51E-05,5.76E-05,1.56E-05,4.77E-06,0.000120629,2.83E-07,1.36E-06
8,0.009604867,0.00050371,0.000342285,0.000281831,2.63E-05,7.16E-05,6.87E-06,1.79E-05,0.9872578,0.00188697
9,9.42E-08,6.05E-05,1.01E-08,1.05E-07,8.07E-09,1.55E-08,1.33E-09,4.71E-07,3.12E-08,0.9999387
10,3.20E-09,1.21E-05,8.60E-10,1.43E-08,1.37E-11,7.25E-09,2.85E-10,1.57E-09,6.25E-07,0.99998724
11,1.07E-05,1.16E-06,0.001629784,0.000474348,2.90E-05,0.000233234,4.17E-05,0.9975713,8.17E-06,7.49E-07
12,2.30E-10,0.99999976,9.32E-11,1.75E-10,3.35E-11,4.21E-09,1.87E-11,2.13E-09,1.31E-10,2.21E-07
13,0.93467987,0.004735304,0.006528099,0.000276758,0.00697738,7.07E-05,0.00012612,0.000645722,0.043627944,0.002331907
