-1,0,1,2,3,4,5,6,7,8,9
0,1.07E-05,9.53E-05,0.000237166,0.8519782,3.70E-05,0.014279076,0.13126689,0.00022325,4.41E-05,0.001828427
1,5.31E-06,4.46E-08,6.98E-09,0.99118185,1.16E-06,0.008797579,3.66E-10,1.40E-05,7.56E-10,9.42E-08
2,7.92E-12,3.98E-10,1.06E-08,3.62E-07,7.68E-09,0.9999957,6.21E-10,3.91E-06,2.22E-10,8.47E-11
3,3.67E-07,4.79E-06,1.75E-06,0.9901343,2.13E-05,0.009749621,1.03E-05,7.09E-05,5.86E-07,5.98E-06
4,0.002993916,1.06E-05,0.000124566,3.91E-05,5.95E-05,1.50E-05,8.64E-07,6.52E-06,0.99642676,0.00032305
5,1.22E-07,0.99991727,8.01E-07,2.20E-06,2.61E-07,4.07E-06,2.08E-07,3.44E-07,4.75E-08,7.47E-05
6,0.000200233,8.32E-05,6.35E-06,2.56E-06,4.70E-08,2.89E-07,2.62E-06,5.65E-08,0.99946815,0.000236476
7,0.000153578,0.000778834,0.002557241,0.04568327,3.06E-05,0.94548833,0.002794685,0.001620103,0.000112726,0.00078068
8,3.51E-05,4.72E-06,0.14921336,0.3463187,0.002640196,0.49091738,8.71E-05,0.010753684,1.36E-05,1.61E-05
9,0.000424691,0.000348581,3.66E-06,1.67E-05,4.15E-07,4.25E-06,1.00E-06,3.65E-07,0.9989849,0.000215388
10,0.093220465,0.005885133,0.042586695,0.002922879,0.001680774,0.000396473,0.000691828,0.00035371,0.8503194,0.001942652
11,9.56E-08,1.31E-08,4.01E-06,0.000105829,0.9994748,0.000397624,1.66E-06,1.58E-05,4.04E-08,2.80E-08
12,1.21E-07,8.63E-07,4.58E-09,4.29E-09,3.28E-10,3.32E-08,1.98E-10,1.57E-08,1.14E-07,0.9999988
13,9.21E-06,1.36E-06,0.003143351,0.00029706,0.000386833,5.91E-05,0.99608624,9.51E-06,4.44E-06,2.92E-06
14,7.23E-05,0.031783182,0.002281422,2.09E-05,8.98E-08,0.001469939,0.001792518,0.00146907,0.9607281,0.000382427
15,8.14E-08,0.99998033,2.88E-07,2.11E-07,2.49E-08,4.27E-07,6.34E-08,2.67E-07,2.75E-08,1.82E-05
16,9.24E-11,1.12E-10,5.92E-09,7.71E-09,3.80E-08,1.67E-05,1.48E-10,0.9999833,3.40E-12,2.96E-11
17,4.93E-05,2.85E-08,0.99992454,2.30E-05,4.15E-07,1.68E-06,1.51E-08,1.49E-07,8.52E-07,2.78E-08
18,1.14E-06,5.27E-06,1.60E-06,0.026463024,4.14E-05,0.97343636,7.99E-07,3.54E-05,4.25E-07,1.45E-05
19,6.52E-06,4.42E-07,1.17E-05,0.93955636,7.05E-06,0.060413774,3.91E-07,3.51E-06,1.13E-07,2.42E-07
20,2.08E-05,1.84E-07,6.45E-07,1.13E-06,2.43E-05,2.57E-05,3.27E-07,0.99992657,4.62E-08,1.78E-07
21,0.001914836,2.59E-06,0.97681147,0.000284476,0.019127999,0.000211097,1.91E-06,0.001616005,2.01E-05,9.57E-06
22,0.17052488,0.000690471,0.000787301,0.000529949,1.62E-06,1.80E-05,7.49E-05,4.11E-06,0.8231543,0.004214422
23,0.99647695,5.15E-07,0.003473069,7.91E-06,2.98E-07,6.18E-07,1.62E-05,1.45E-07,2.24E-05,1.94E-06
24,0.98042893,0.015354695,0.001334094,0.001823169,3.91E-05,0.000107371,3.81E-07,0.000236201,0.00038904,0.000287002
25,8.89E-05,0.99369353,5.90E-09,2.76E-06,7.72E-08,5.81E-07,9.97E-07,2.22E-07,0.000481592,0.00573128
