-1,0,1,2,3,4,5,6,7,8,9
0,6.82E-08,0.99421245,1.43E-07,8.34E-06,3.13E-08,1.34E-05,3.59E-06,2.03E-05,1.22E-06,0.005740363
1,0.000466699,3.17E-06,0.015403396,0.2987261,0.001341526,0.006172284,0.6773019,9.07E-05,0.00048596,8.21E-06
2,5.16E-08,8.01E-06,4.35E-09,2.48E-08,2.73E-09,2.15E-09,3.56E-07,1.34E-07,2.65E-07,0.9999912
3,3.17E-05,2.39E-06,9.56E-05,0.012377641,0.9475079,0.021496732,0.000108951,0.018375607,1.08E-06,2.34E-06
4,0.020550957,2.06E-05,0.000670424,2.13E-05,1.20E-05,1.49E-06,1.72E-06,6.55E-06,0.9783066,0.000408376
5,5.68E-08,2.38E-07,3.17E-05,1.63E-05,1.04E-06,0.99991274,3.08E-05,5.83E-06,4.04E-09,1.16E-06
6,4.68E-06,6.77E-05,1.03E-08,2.85E-06,9.86E-08,7.34E-07,1.38E-08,4.96E-07,5.22E-05,0.99987113
7,0.8651177,0.003343504,0.002747553,0.007918037,2.48E-05,0.001732588,0.115793645,3.51E-05,0.000621816,0.002665275
8,1.23E-05,2.98E-05,1.54E-05,0.9959812,1.45E-06,0.003709239,2.83E-06,3.95E-05,0.000165967,4.22E-05
9,1.50E-06,2.94E-08,0.001100904,0.000179249,0.8656105,0.011489621,2.54E-06,0.12161529,1.29E-07,1.56E-07
10,0.98351836,4.70E-07,0.000164203,0.016045017,2.66E-05,0.000230229,1.73E-07,2.83E-06,1.18E-05,3.70E-07
11,1.98E-06,1.03E-07,0.88127035,0.01052002,0.000317755,0.107650876,4.50E-06,0.000233394,7.03E-07,2.19E-07
12,7.36E-06,0.00021174,0.000184878,0.000851859,0.000358491,0.9981054,1.96E-05,0.000170175,1.04E-05,8.01E-05
13,4.42E-08,8.34E-09,6.70E-07,0.000584711,0.9983217,0.001067388,1.96E-05,5.34E-06,2.36E-07,2.47E-07
14,1.95E-11,5.92E-09,1.75E-07,1.53E-07,7.75E-10,0.9999995,3.06E-08,3.02E-08,1.21E-10,5.75E-10
15,1.77E-09,1.61E-06,7.89E-05,0.004295247,1.40E-06,0.99553263,2.01E-07,8.78E-05,1.89E-09,2.18E-06
16,3.98E-07,1.73E-06,1.87E-05,0.000434589,7.32E-09,1.61E-06,0.99954116,5.14E-08,4.13E-07,1.40E-06
17,2.55E-05,0.000661227,9.25E-08,8.60E-08,1.21E-08,1.07E-08,6.89E-07,1.01E-07,0.999311,1.29E-06
18,2.00E-07,7.04E-05,3.38E-06,6.00E-05,3.16E-09,9.48E-06,0.9998437,3.17E-07,3.12E-07,1.20E-05
19,0.99787354,0.000460419,1.01E-05,3.25E-05,2.24E-07,1.72E-05,8.48E-07,3.56E-05,2.84E-05,0.001541142
20,6.40E-07,0.9999969,2.39E-07,4.20E-07,1.71E-08,1.37E-07,8.76E-08,1.64E-08,1.86E-08,1.55E-06
21,2.79E-07,3.59E-08,1.71E-06,3.91E-06,3.57E-08,1.72E-07,0.9999938,4.39E-09,6.57E-09,1.13E-08
22,0.000111228,0.000262806,7.31E-06,3.81E-05,2.59E-05,2.27E-05,7.38E-05,0.000341682,0.99688244,0.002234021
23,0.000333306,0.9511741,0.000465348,0.000601742,0.000172763,0.00179149,3.60E-05,6.82E-05,0.01348289,0.031874157
24,0.99990094,2.91E-07,4.17E-05,1.80E-06,1.66E-05,5.57E-07,6.90E-08,6.22E-07,3.42E-05,3.20E-06
25,1.88E-09,2.57E-05,2.02E-11,1.05E-09,1.57E-13,1.81E-10,8.31E-11,2.40E-11,2.95E-07,0.999974
26,0.9999645,1.92E-08,1.16E-05,5.38E-06,8.69E-07,1.48E-05,3.35E-09,8.24E-07,1.87E-06,1.98E-08
27,7.04E-06,2.50E-05,6.18E-09,1.67E-07,6.74E-11,7.26E-08,3.27E-09,6.55E-09,8.12E-06,0.9999596
28,0.99956053,7.31E-05,0.000255563,7.19E-06,2.26E-07,8.71E-08,2.93E-07,2.42E-07,9.78E-05,4.96E-06
29,6.16E-06,5.44E-08,5.43E-06,0.000235882,5.21E-05,0.003825696,3.92E-06,0.9958698,6.33E-07,2.82E-07
30,0.9999838,1.63E-07,2.57E-06,5.94E-07,4.53E-07,3.11E-07,5.54E-09,1.13E-05,5.84E-08,8.35E-07
31,3.83E-08,4.24E-08,4.33E-06,1.59E-05,2.04E-08,0.9999776,1.51E-08,1.20E-06,9.49E-09,9.28E-07
32,3.16E-05,1.78E-07,0.9998211,2.91E-05,1.33E-05,3.28E-06,0.000100228,3.22E-07,2.34E-07,8.83E-07
33,7.37E-08,0.938269,1.88E-08,1.60E-07,1.23E-08,2.53E-07,1.51E-07,1.00E-07,1.12E-06,0.06172902
34,5.18E-10,1.02E-10,1.05E-07,0.99923813,3.42E-06,0.000758022,2.89E-07,7.61E-08,4.19E-09,7.89E-10
35,0.000379499,6.89E-05,0.011192177,0.23417318,0.40417242,0.21069075,0.020495288,0.11864076,0.000183326,3.72E-06
36,0.92929864,0.001081826,0.009678832,0.000215596,0.000803426,3.42E-05,9.05E-05,0.000125093,0.058020975,0.000650961
37,0.06537778,9.82E-05,0.4683129,0.13942783,0.013845712,0.03997941,0.000953779,0.26462513,0.006167909,0.001211283
38,2.56E-06,4.64E-06,4.77E-05,0.023245275,0.00139117,0.12117275,0.85376185,0.000337701,2.47E-05,1.16E-05
39,4.80E-06,1.99E-06,0.003711947,0.004909471,0.001752861,0.9850513,0.000127884,0.004387088,5.21E-05,6.94E-07
40,0.002398358,0.044769064,0.11117552,0.7251261,0.000284126,0.013970496,0.015885204,0.002485625,0.02318536,0.06072024
41,1.65E-09,0.99999213,4.28E-09,2.76E-08,1.23E-10,1.94E-08,5.62E-08,8.21E-09,1.38E-07,7.62E-06
42,1.46E-05,0.001153473,0.024555735,0.90380144,0.002325194,0.03064331,0.000127247,0.033355694,0.000451768,0.003571603
43,1.84E-07,1.15E-05,1.79E-05,0.000343142,3.27E-07,0.99962056,2.86E-08,6.09E-06,5.14E-08,1.46E-07
44,0.009527341,0.9227068,1.64E-06,2.60E-06,6.38E-07,8.99E-07,9.36E-08,1.14E-05,2.32E-05,0.06772545
45,8.29E-11,3.99E-08,8.28E-06,9.73E-06,2.16E-08,0.99998164,1.04E-07,2.79E-07,5.31E-09,1.19E-08
46,6.59E-09,5.64E-09,7.08E-06,0.7743921,1.65E-05,0.2255832,1.98E-08,1.07E-06,5.11E-10,3.07E-11
47,1.35E-06,4.69E-08,1.61E-05,0.99969625,4.62E-07,0.000284038,1.66E-06,7.05E-08,1.48E-08,1.20E-08
48,2.69E-07,8.91E-08,0.001508646,0.9859168,0.006265269,0.006149167,3.80E-06,0.00015458,1.41E-07,1.29E-06
49,0.8953251,2.38E-06,0.07502084,0.00016441,0.029396499,1.57E-05,3.27E-05,2.93E-05,6.95E-06,6.17E-06
50,3.25E-10,1.36E-10,1.22E-08,4.30E-07,6.92E-09,0.9999937,1.05E-11,5.81E-06,2.28E-11,1.52E-10
51,4.37E-06,0.9999211,1.13E-07,6.71E-07,2.81E-08,6.26E-08,1.87E-07,3.36E-08,1.45E-07,7.32E-05
52,0.025415003,0.004171458,0.016977193,0.000297298,4.02E-05,1.02E-05,9.64E-06,9.78E-05,0.95274895,0.000232288
53,1.85E-05,0.002542562,4.98E-08,1.86E-08,3.37E-09,9.64E-09,1.17E-06,8.44E-09,0.99743074,6.95E-06
54,0.000988022,5.57E-07,0.000669813,0.0505166,0.19329844,0.67130595,6.47E-06,0.08321053,1.77E-06,1.90E-06
55,0.9979638,0.000686803,2.82E-06,2.94E-06,5.54E-07,1.49E-06,4.36E-07,4.25E-06,0.000953336,0.00038358
56,3.57E-06,1.02E-07,4.19E-08,3.78E-08,2.23E-08,2.10E-08,1.54E-08,5.10E-08,0.99999607,1.09E-07
57,8.23E-07,0.9999591,8.90E-08,2.49E-07,2.73E-09,1.32E-07,2.85E-07,1.58E-08,2.05E-06,3.71E-05
58,9.46E-06,1.16E-06,0.000550222,1.89E-05,0.001589522,0.000166759,1.34E-06,0.9976624,7.38E-08,2.62E-07
59,3.07E-06,1.42E-08,0.000131206,3.44E-05,0.000314694,0.000317796,9.46E-09,0.99919873,2.53E-08,1.42E-07
60,1.83E-10,0.99999905,8.16E-10,6.98E-10,2.12E-11,5.48E-09,2.16E-11,4.64E-09,2.74E-10,9.85E-07
61,3.69E-07,9.88E-11,0.99999833,6.24E-07,4.03E-08,4.38E-07,8.16E-08,9.74E-08,8.73E-09,1.23E-10
62,9.78E-07,0.05843262,4.06E-08,2.78E-07,1.90E-09,5.80E-07,8.06E-09,5.07E-07,2.43E-06,0.9415625
