-1,0,1,2,3,4,5,6,7,8,9
0,5.90E-13,3.11E-12,6.44E-12,1,2.84E-14,5.70E-09,1.03E-15,9.51E-12,5.19E-11,4.84E-09
1,7.58E-17,1.13E-16,5.09E-17,1.49E-12,1.35E-08,1.49E-11,8.75E-18,1.65E-11,7.20E-10,1
2,1,2.32E-23,9.76E-18,1.08E-18,1.72E-23,8.22E-12,1.66E-14,7.59E-17,6.60E-15,4.63E-16
3,7.23E-08,2.75E-11,2.17E-11,3.03E-11,2.56E-09,2.10E-06,0.9999975,1.35E-15,2.12E-07,2.05E-10
4,7.65E-15,1,1.63E-14,5.99E-17,1.69E-09,4.63E-12,2.72E-12,1.22E-10,2.07E-11,1.17E-12
5,1.46E-11,1.09E-11,1.19E-11,6.88E-11,3.49E-07,1.80E-10,5.78E-16,5.83E-07,0.000103383,0.9998957
6,1.22E-11,8.19E-08,1.19E-08,9.95E-09,2.57E-11,7.39E-13,1.87E-15,0.9999999,1.06E-11,2.60E-08
7,4.12E-14,3.84E-12,1.41E-09,9.12E-13,7.95E-08,1.03E-14,7.57E-17,0.9999999,1.21E-13,1.69E-08
8,5.42E-20,4.77E-12,4.77E-19,2.77E-19,1,3.45E-14,1.45E-17,9.21E-14,1.82E-11,3.14E-09
9,3.89E-13,1.43E-09,1.57E-13,1.28E-10,0.99768484,2.75E-10,1.95E-14,4.59E-10,7.82E-09,0.002315146
10,2.21E-17,8.90E-17,1.97E-16,1,1.29E-19,9.40E-12,2.29E-20,1.75E-16,2.80E-15,2.40E-13
11,1.14E-11,1.02E-09,9.41E-10,4.73E-10,5.52E-07,3.03E-12,2.66E-14,0.9999944,2.35E-11,4.95E-06
12,2.06E-14,8.00E-11,2.89E-13,3.75E-12,2.90E-12,2.59E-14,9.87E-19,1,1.18E-15,5.13E-11
13,1,1.61E-17,1.47E-10,8.77E-13,3.12E-14,3.03E-10,1.74E-09,3.01E-14,1.01E-10,6.77E-10
14,3.82E-08,3.42E-07,0.99979013,9.92E-06,2.17E-09,3.16E-13,2.25E-09,3.26E-09,0.000196709,2.88E-06
15,3.89E-17,1.89E-18,3.01E-22,2.47E-12,2.08E-17,1,8.58E-13,2.47E-19,5.40E-11,1.82E-11
16,1.56E-10,3.90E-11,1.22E-12,1.40E-09,1.09E-07,6.40E-07,1.36E-09,7.70E-12,0.9999759,2.34E-05
17,1.34E-10,2.52E-12,0.9999316,1.17E-05,9.95E-14,7.99E-14,2.63E-15,4.97E-05,7.06E-06,8.45E-12
18,3.53E-17,3.10E-18,1.31E-17,2.76E-11,1.19E-09,6.07E-12,1.84E-18,3.07E-11,4.46E-08,1
19,0.9999727,1.74E-11,1.60E-07,2.25E-08,1.23E-09,1.96E-09,1.04E-08,1.08E-09,2.69E-05,8.87E-08
20,3.80E-13,6.69E-09,3.09E-12,3.96E-12,0.999946,6.08E-11,7.24E-12,3.22E-09,6.65E-10,5.40E-05
21,6.29E-13,3.70E-17,1.52E-07,5.16E-08,1.30E-15,2.30E-12,8.47E-15,7.23E-12,0.99999976,9.09E-14
22,6.28E-10,1.28E-06,3.11E-05,0.9945874,5.00E-10,1.04E-06,7.14E-10,0.005355941,2.28E-05,2.75E-07
23,1.52E-21,1.13E-13,1.26E-17,4.21E-21,1,1.68E-16,2.24E-19,1.99E-12,2.29E-15,6.14E-12
24,3.34E-12,1,2.02E-10,1.49E-14,2.00E-08,3.52E-11,2.77E-11,1.49E-08,9.17E-11,1.30E-11
25,1.39E-07,1.70E-05,2.87E-07,2.59E-08,6.89E-05,2.67E-05,0.9998857,1.82E-09,1.18E-06,1.41E-09
26,2.93E-11,9.47E-08,4.57E-09,1.18E-08,1.24E-09,3.11E-11,1.11E-14,0.9999999,2.45E-11,1.68E-08
27,0.9999999,1.60E-10,9.60E-08,8.31E-11,1.77E-09,7.32E-12,2.11E-08,3.06E-11,5.38E-09,5.36E-09
28,1,3.41E-13,1.41E-10,7.27E-12,9.46E-13,2.10E-11,2.04E-10,2.11E-10,4.35E-10,7.69E-10
29,2.82E-15,1.66E-14,2.03E-14,2.13E-12,2.23E-05,4.39E-11,1.50E-19,3.43E-07,1.70E-06,0.9999757
30,2.16E-16,6.48E-18,8.91E-23,3.83E-10,2.30E-16,1,3.51E-16,2.91E-17,3.32E-12,3.06E-12
31,1.08E-16,4.70E-14,1,6.65E-11,4.29E-19,2.59E-21,4.36E-18,3.30E-12,3.99E-13,9.93E-18
32,7.65E-15,1.33E-14,2.00E-14,2.29E-11,9.93E-08,1.09E-11,1.37E-17,4.46E-09,1.79E-07,0.99999964
33,1.49E-14,8.96E-17,2.45E-21,2.56E-12,4.99E-16,0.99999976,8.21E-16,4.70E-16,1.63E-08,1.91E-07
34,2.01E-16,1.26E-08,1.71E-07,5.62E-07,4.02E-07,1.21E-13,9.35E-17,0.9999988,1.02E-10,1.39E-07
35,3.55E-14,6.85E-17,4.73E-11,1.57E-10,7.09E-18,2.39E-10,3.43E-14,4.36E-15,1,4.20E-14
36,0.9999919,4.76E-11,1.77E-06,1.78E-10,1.97E-07,5.65E-10,6.00E-06,1.21E-10,1.35E-08,5.08E-08
37,1.43E-14,1.41E-16,5.03E-12,1,1.66E-17,1.42E-08,4.59E-17,3.63E-13,3.01E-11,2.69E-11
38,4.48E-08,1.34E-14,3.32E-10,4.98E-07,7.76E-09,1.76E-08,4.85E-07,3.37E-14,0.9999989,3.04E-08
39,3.63E-11,1,6.31E-10,7.60E-14,1.50E-08,3.64E-10,4.21E-09,1.34E-09,3.40E-10,1.78E-11
40,8.96E-12,5.15E-11,7.58E-11,0.99999976,7.27E-14,1.92E-07,1.71E-13,8.98E-10,8.54E-10,2.03E-09
41,2.00E-13,9.79E-14,0.9999943,5.44E-06,1.14E-15,3.84E-14,5.13E-15,2.48E-08,2.74E-07,1.01E-13
42,4.46E-11,3.28E-07,5.58E-09,3.76E-08,2.26E-10,1.08E-12,5.60E-14,0.9999988,9.85E-11,7.87E-07
43,1.35E-12,1.20E-17,1,1.36E-09,1.46E-15,6.39E-17,9.94E-14,7.93E-15,3.59E-10,1.78E-18
44,1.03E-09,2.79E-12,5.94E-18,9.62E-21,2.07E-08,9.31E-13,1,1.10E-19,1.63E-12,1.31E-14
45,2.75E-12,1,9.50E-12,2.30E-15,1.87E-08,1.38E-10,1.35E-09,1.21E-09,8.01E-10,2.69E-12
46,1.21E-14,1.13E-12,0.9999999,7.37E-08,3.65E-17,1.84E-17,7.95E-17,4.26E-08,1.31E-11,9.16E-14
47,2.83E-09,1.26E-07,0.9945667,2.52E-05,1.56E-08,8.89E-10,1.62E-11,0.005407845,2.46E-07,2.42E-09
48,2.14E-07,1.84E-07,9.78E-06,3.56E-08,0.000800162,9.72E-08,3.46E-11,1.50E-05,0.000286936,0.9988876
49,1,1.07E-14,2.49E-13,1.22E-14,1.52E-14,2.13E-13,8.24E-10,1.53E-13,1.13E-11,1.44E-12
50,3.37E-10,0.99999666,1.74E-08,3.22E-12,1.90E-07,2.79E-10,2.69E-09,3.10E-06,1.21E-09,2.01E-10
51,3.76E-13,1,3.20E-11,7.39E-15,6.98E-10,1.15E-11,4.43E-10,9.91E-11,1.46E-10,1.95E-13
52,2.58E-12,6.16E-11,1.24E-11,3.97E-11,1.45E-09,6.81E-12,9.89E-17,1,2.51E-12,3.49E-08
53,1,4.47E-15,9.43E-11,1.55E-14,1.09E-12,6.18E-14,1.15E-08,1.91E-14,3.88E-11,7.35E-10
54,1.18E-16,3.62E-09,4.02E-16,7.38E-17,0.99999547,6.49E-12,2.95E-13,4.66E-13,4.56E-06,2.43E-10
55,6.27E-09,7.30E-11,1.85E-07,0.9995963,7.41E-11,0.000377941,4.04E-07,1.59E-09,2.52E-05,2.34E-08
56,1.74E-13,1,1.99E-12,1.59E-14,3.96E-09,1.82E-11,1.39E-11,2.55E-09,1.81E-11,3.47E-12
