-1,0,1,2,3,4,5,6,7,8,9
0,6.74E-12,4.18E-08,0.9999999,1.13E-07,8.29E-13,5.64E-15,1.30E-12,1.57E-09,2.82E-09,3.21E-13
1,1.84E-14,6.17E-17,1.56E-20,2.45E-08,5.11E-16,1,5.97E-15,1.51E-15,3.94E-09,2.37E-11
2,1.54E-10,1.74E-06,1.87E-07,5.30E-07,1.25E-06,8.84E-10,1.57E-13,0.9999037,8.63E-09,9.27E-05
3,2.56E-09,0.99999905,4.48E-08,1.47E-12,6.50E-09,2.88E-09,7.30E-07,3.49E-11,2.10E-07,1.91E-11
4,5.09E-23,5.43E-20,2.40E-17,1,2.56E-22,6.83E-14,1.29E-23,1.59E-15,3.59E-14,3.48E-15
5,2.82E-08,3.04E-13,8.36E-10,1.09E-10,1.34E-09,1.05E-06,0.9999926,4.20E-17,6.29E-06,2.12E-10
6,5.86E-15,2.28E-13,3.63E-14,1.54E-11,7.29E-06,2.58E-11,4.12E-17,1.22E-08,9.22E-07,0.9999918
7,1.10E-13,0.9999989,1.04E-07,1.08E-10,8.52E-07,2.01E-09,1.36E-10,4.11E-08,1.23E-08,6.14E-09
8,7.07E-18,3.61E-17,6.72E-21,9.40E-11,1.34E-14,1,9.71E-12,1.61E-15,2.15E-12,6.40E-10
9,2.81E-10,2.19E-08,9.58E-11,2.09E-10,0.999912,2.42E-07,2.69E-05,1.51E-10,1.54E-08,6.08E-05
10,2.95E-13,1.11E-19,4.87E-09,7.88E-11,1.06E-16,1.55E-11,1.25E-16,5.17E-15,1,4.67E-10
11,2.77E-11,2.93E-15,5.45E-14,8.28E-15,9.74E-13,6.41E-09,1,2.85E-20,1.30E-10,1.20E-14
12,1.60E-12,3.63E-13,1.89E-15,1.02E-14,1.07E-09,1.87E-09,1,1.02E-19,5.61E-10,3.45E-15
13,2.23E-16,3.08E-12,1.61E-13,1,2.94E-16,2.75E-09,4.31E-17,2.62E-13,7.18E-12,1.55E-10
14,5.50E-20,1.70E-24,1.60E-19,9.63E-18,1.32E-22,2.61E-15,1.82E-19,8.35E-26,1,4.69E-17
15,4.56E-12,1,5.26E-11,5.25E-14,3.33E-08,9.02E-11,4.41E-10,1.20E-08,6.20E-11,3.98E-11
16,8.43E-17,1.13E-14,1,5.07E-12,4.35E-17,1.00E-21,3.75E-20,5.02E-13,2.43E-14,1.40E-18
17,7.71E-13,1.08E-11,2.13E-11,3.59E-10,1.27E-15,1.93E-15,7.49E-19,1,3.34E-14,3.96E-10
18,1,8.02E-13,5.32E-09,4.20E-12,1.93E-12,1.84E-12,4.25E-09,7.84E-11,9.79E-09,1.79E-11
19,2.97E-11,7.92E-17,1.06E-07,1.41E-10,3.05E-15,4.27E-12,6.69E-14,2.65E-15,0.9999999,1.79E-11
20,2.15E-13,1,2.99E-12,3.49E-14,4.62E-10,3.18E-11,7.28E-11,1.87E-10,8.91E-11,5.39E-13
21,2.58E-07,2.92E-06,0.9999485,6.69E-07,1.35E-07,2.04E-11,1.83E-10,4.71E-05,3.59E-07,1.74E-09
22,7.50E-16,7.83E-17,1.36E-16,1.61E-11,1.84E-09,8.10E-07,1.35E-13,1.02E-12,4.59E-09,0.99999917
23,6.17E-13,2.61E-13,4.74E-17,1.27E-17,9.04E-10,1.76E-11,1,2.67E-20,1.52E-13,4.42E-16
24,1.43E-14,9.56E-13,8.48E-14,2.43E-08,1.68E-09,1,1.20E-08,3.80E-11,1.13E-09,1.20E-08
25,1.97E-12,1.73E-16,1.41E-15,4.15E-19,2.40E-11,4.59E-12,1,5.16E-23,4.95E-11,3.46E-16
26,1,1.26E-12,7.30E-09,7.07E-12,2.94E-11,2.25E-12,3.06E-09,1.92E-10,2.06E-09,3.18E-09
27,1.47E-15,3.74E-13,1,1.41E-13,1.72E-16,3.98E-20,4.33E-13,7.18E-17,2.74E-14,1.99E-19
28,8.84E-13,5.82E-15,0.9999968,2.03E-06,4.42E-15,9.04E-14,2.62E-14,3.51E-11,1.19E-06,7.68E-13
29,0.9999981,3.79E-09,1.16E-08,2.19E-09,1.25E-08,8.22E-09,1.01E-06,3.22E-10,5.50E-07,3.28E-07
30,1.60E-12,1,3.36E-10,1.39E-12,2.67E-09,5.71E-11,2.31E-11,4.78E-08,3.37E-11,1.21E-11
31,2.98E-12,5.26E-11,1.68E-13,1.41E-12,5.96E-12,2.23E-12,6.46E-17,1,5.40E-15,9.70E-10
32,4.89E-18,1.65E-14,3.20E-16,1.09E-18,1,1.16E-15,9.23E-18,4.58E-14,1.22E-14,6.44E-12
33,3.99E-15,1.82E-10,1,2.31E-13,1.20E-17,6.17E-21,9.24E-16,2.72E-14,1.96E-14,1.85E-19
34,0.99997914,3.50E-10,2.79E-10,1.86E-11,6.31E-11,7.02E-08,2.06E-05,2.52E-11,2.33E-07,2.28E-09
35,2.37E-11,9.19E-09,0.99978906,0.000184264,2.91E-11,4.92E-11,9.06E-12,2.62E-05,4.26E-07,1.07E-10
36,1.74E-15,4.47E-11,2.62E-14,7.93E-18,0.99999416,2.06E-12,1.51E-14,7.30E-12,4.56E-14,5.87E-06
37,1,4.67E-15,3.94E-09,5.53E-12,7.55E-13,4.35E-13,3.73E-09,9.58E-14,2.24E-08,1.65E-10
38,6.55E-20,1.35E-18,3.50E-16,1,2.04E-20,6.53E-11,1.88E-20,1.41E-15,2.52E-14,2.13E-15
39,1.20E-17,1.65E-14,2.59E-13,1,2.25E-17,7.16E-11,1.32E-17,8.60E-13,9.74E-12,2.27E-12
40,4.32E-15,2.68E-11,1.49E-10,9.79E-15,0.9999988,8.69E-14,9.36E-17,1.42E-10,3.46E-12,1.14E-06
41,1.42E-09,6.60E-07,0.9997168,0.000264928,8.18E-13,7.55E-11,5.88E-11,1.18E-05,5.77E-06,2.27E-10
42,6.02E-13,1.39E-15,5.38E-16,3.53E-17,4.72E-12,7.43E-10,1,1.23E-22,1.62E-10,3.69E-17
43,1,4.74E-13,1.86E-09,7.31E-14,6.20E-13,3.46E-11,8.44E-09,1.05E-12,6.74E-09,1.54E-09
44,1.96E-10,1.00E-07,0.99477696,0.002873548,1.32E-13,4.01E-10,2.54E-12,0.001175293,0.001173992,2.10E-09
45,3.89E-18,1.23E-11,7.86E-07,5.08E-11,2.30E-12,4.15E-19,5.22E-20,0.99999917,5.64E-15,7.47E-12
46,9.59E-15,3.94E-11,3.24E-12,1,2.75E-15,1.28E-09,9.98E-17,4.77E-12,7.03E-13,5.00E-10
47,4.77E-12,3.61E-15,3.52E-15,7.03E-17,2.37E-10,7.74E-12,1,4.43E-22,7.70E-11,9.32E-16
48,4.95E-17,2.10E-16,7.09E-24,6.89E-14,8.19E-14,1,4.89E-13,9.53E-21,6.67E-13,2.75E-11
49,2.69E-12,9.67E-09,2.14E-12,2.80E-14,0.999995,9.89E-10,1.66E-11,7.30E-11,1.83E-10,5.06E-06
50,5.21E-11,4.37E-10,1.42E-12,4.02E-13,9.38E-07,8.02E-09,0.99999857,2.62E-17,4.68E-07,1.94E-12
51,2.07E-08,3.44E-08,0.99986875,2.85E-05,1.15E-11,5.00E-12,1.21E-12,3.65E-05,6.62E-05,6.31E-09
52,7.95E-09,1.70E-09,0.99999917,4.37E-07,1.25E-07,2.83E-11,2.89E-07,1.84E-12,1.37E-08,1.78E-09
53,1.11E-12,2.20E-06,0.9999695,3.11E-06,9.06E-12,1.17E-12,3.70E-12,2.53E-05,1.21E-09,4.30E-12
54,2.00E-11,1,8.31E-11,4.71E-14,1.84E-09,5.20E-11,2.69E-09,1.30E-10,2.02E-09,3.67E-12
55,1,5.43E-14,4.56E-11,1.83E-15,1.90E-14,1.38E-15,2.81E-10,3.54E-15,1.24E-11,2.40E-13
56,7.96E-12,2.22E-13,1.20E-13,1.81E-15,2.29E-09,1.87E-09,1,1.27E-19,1.04E-10,4.17E-13
57,3.82E-08,3.42E-07,0.99979013,9.92E-06,2.17E-09,3.16E-13,2.25E-09,3.26E-09,0.000196709,2.88E-06
58,3.22E-18,4.98E-12,1,2.40E-11,1.78E-18,3.14E-21,1.23E-18,1.45E-14,4.04E-12,4.95E-18
59,4.56E-14,4.80E-11,3.55E-12,0.9999999,7.91E-12,9.29E-08,3.34E-14,4.60E-10,3.26E-09,2.18E-10
60,1.11E-14,5.40E-20,1,7.92E-11,6.75E-16,3.02E-17,1.88E-14,5.29E-15,1.01E-13,3.78E-18
61,4.26E-10,6.25E-14,1.97E-10,4.77E-08,8.27E-12,6.59E-10,8.16E-10,1.89E-16,1,1.11E-08
62,1.53E-16,2.70E-12,2.78E-13,3.29E-15,1,4.87E-14,6.32E-15,8.43E-10,5.76E-11,2.35E-10
63,1.09E-10,6.07E-16,2.34E-11,1.63E-11,6.69E-12,1.38E-10,2.46E-11,1.02E-17,1,1.47E-09
64,5.78E-20,4.71E-20,5.21E-24,5.51E-13,3.28E-19,1,1.23E-13,3.55E-21,1.41E-12,1.22E-12
65,8.79E-11,5.45E-11,4.72E-12,1.97E-07,0.001539119,5.02E-09,5.42E-14,0.000118885,1.39E-06,0.99834037
66,1.32E-11,1.93E-10,9.94E-11,4.88E-09,1.17E-12,4.68E-11,4.73E-16,1,3.07E-11,1.02E-09
67,1.32E-12,5.10E-10,2.78E-11,1.04E-12,0.9999728,1.07E-11,2.18E-14,1.79E-10,3.42E-10,2.72E-05
68,1.90E-13,5.45E-16,1.11E-13,2.95E-11,8.77E-08,6.66E-11,1.77E-16,2.53E-10,2.63E-08,0.9999999
69,7.93E-21,2.78E-16,8.11E-17,1,1.65E-18,4.19E-12,3.40E-21,2.10E-14,1.35E-12,5.03E-14
70,1.52E-05,3.70E-09,0.000149541,0.005126463,8.84E-09,1.05E-06,8.25E-07,2.04E-08,0.9947068,1.75E-07
71,7.72E-12,2.43E-10,2.63E-10,3.27E-09,2.27E-11,5.15E-12,2.75E-16,1,5.05E-09,3.72E-08
72,7.40E-14,1.95E-12,2.09E-12,2.81E-09,1.21E-09,2.81E-09,1.09E-11,4.14E-13,1,4.41E-09
73,3.65E-18,6.28E-15,6.13E-16,5.97E-14,7.46E-13,3.72E-09,2.82E-10,1.52E-19,1,1.16E-14
74,1.81E-20,1.84E-16,1.03E-12,1,2.02E-20,2.06E-13,4.34E-20,2.13E-10,1.49E-10,2.91E-11
75,1,5.50E-17,1.37E-14,9.52E-15,3.26E-18,6.20E-11,5.90E-11,4.55E-13,9.14E-13,8.96E-12
76,7.51E-12,9.57E-12,2.13E-11,3.34E-14,1,5.64E-13,2.67E-12,9.29E-11,1.85E-11,1.57E-09
77,6.87E-13,1.98E-15,1.67E-16,3.74E-18,2.86E-10,1.32E-12,1,4.66E-22,1.46E-12,9.14E-16
78,6.43E-17,5.34E-16,9.51E-15,1.20E-13,2.06E-07,2.81E-13,2.97E-20,8.30E-09,3.28E-09,0.99999976
79,4.85E-15,3.78E-15,1.24E-15,8.07E-13,2.38E-07,1.10E-12,1.34E-17,1.08E-09,6.21E-08,0.99999964
80,3.55E-23,2.06E-24,8.62E-15,1.26E-15,6.52E-21,1.12E-16,1.91E-23,3.37E-19,1,1.16E-16
81,9.98E-12,1.19E-14,2.84E-11,1,7.39E-14,3.87E-08,7.04E-14,8.31E-14,2.97E-10,1.07E-09
82,3.91E-10,2.74E-07,0.99999976,5.63E-09,1.86E-14,6.30E-15,4.53E-12,2.58E-09,7.36E-11,4.92E-13
83,8.88E-16,4.02E-10,1,7.40E-10,2.93E-13,9.54E-15,8.59E-12,2.70E-11,1.39E-09,1.74E-16
84,1.10E-10,8.88E-14,1.54E-13,5.08E-10,4.91E-11,2.07E-05,0.99997437,6.30E-18,4.89E-06,5.65E-13
85,4.18E-12,1.30E-11,0.9999988,1.11E-06,2.77E-17,1.66E-14,1.12E-15,1.05E-07,3.06E-09,3.96E-13
86,1.22E-11,2.49E-09,5.46E-09,3.86E-10,2.90E-12,2.74E-14,8.07E-17,1,4.45E-14,3.01E-10
87,2.03E-10,1,4.89E-10,1.00E-16,4.74E-09,2.68E-12,7.38E-11,7.11E-11,4.44E-11,1.62E-12
88,1,2.00E-12,1.67E-10,8.71E-11,4.52E-12,6.11E-10,1.89E-08,3.07E-10,2.66E-09,1.21E-08
89,2.82E-14,4.29E-13,4.98E-11,8.46E-13,3.21E-10,4.51E-12,1.69E-14,8.56E-14,1,2.19E-11
90,1.46E-15,6.42E-11,3.13E-13,4.05E-19,1,1.70E-14,3.78E-14,1.09E-12,8.40E-15,1.15E-08
91,1,9.35E-12,1.10E-08,8.05E-13,2.46E-11,9.80E-14,3.83E-08,3.40E-12,5.80E-10,8.79E-11
92,9.57E-20,2.74E-13,2.70E-12,1,1.57E-18,3.62E-11,3.32E-17,4.15E-11,1.57E-10,1.51E-14
93,0.99982613,1.85E-08,1.74E-05,1.06E-06,7.76E-08,1.45E-06,1.92E-05,1.09E-05,0.000119839,3.87E-06
94,4.97E-09,8.52E-11,1.81E-10,6.31E-09,3.65E-11,3.98E-11,4.63E-14,0.99999905,1.55E-08,8.87E-07
95,4.60E-14,2.88E-16,3.60E-15,1.21E-10,2.19E-08,1.99E-11,6.77E-16,5.40E-10,3.02E-09,1
96,2.37E-08,1.94E-09,0.9996432,0.000347755,1.10E-09,1.35E-09,1.73E-09,5.18E-06,3.83E-06,6.09E-09
97,1.40E-15,2.11E-18,1,5.16E-14,5.09E-20,1.61E-24,3.74E-18,3.84E-17,5.24E-13,4.32E-21
98,3.63E-15,1.98E-08,3.89E-14,4.49E-14,0.9999999,4.25E-10,2.98E-13,2.22E-09,3.76E-10,1.06E-07
99,4.28E-16,1.17E-10,4.60E-09,2.63E-08,6.05E-08,6.75E-12,1.11E-15,0.9999999,2.36E-11,4.57E-10
100,2.26E-15,3.24E-08,1.14E-06,9.82E-07,4.67E-09,5.30E-13,3.73E-15,0.99999785,3.60E-09,4.34E-09
101,6.29E-11,0.9999994,5.64E-07,1.31E-11,7.42E-09,1.07E-10,2.20E-09,1.09E-08,4.18E-09,2.68E-11
102,1.30E-11,6.67E-13,9.06E-11,0.99999976,3.80E-13,2.37E-07,4.99E-12,8.84E-12,4.76E-11,1.05E-12
103,3.35E-19,1.39E-12,2.24E-16,1.34E-18,1,2.96E-16,8.58E-18,3.08E-12,1.16E-09,6.02E-10
