-1,0,1,2,3,4,5,6,7,8,9
0,1.56E-12,4.32E-11,1,3.06E-10,2.88E-09,3.90E-15,3.84E-14,4.29E-11,2.26E-09,9.48E-16
1,1.19E-12,1.48E-15,2.34E-17,2.29E-18,3.01E-11,1.92E-09,1,5.87E-21,3.79E-11,1.65E-18
2,5.83E-10,2.52E-07,6.59E-07,4.11E-06,2.76E-11,1.99E-10,5.91E-13,0.9999944,5.03E-09,5.37E-07
3,9.12E-15,1.18E-13,7.88E-15,1.21E-10,1.68E-06,1.00E-09,4.98E-15,1.16E-10,1.96E-08,0.99999833
4,9.19E-15,8.57E-16,1.42E-14,4.59E-09,9.09E-09,1.25E-08,1.99E-15,7.32E-09,7.27E-07,0.9999993
5,2.95E-09,2.51E-11,3.14E-10,1.14E-09,1.54E-11,1.87E-10,7.52E-15,1,7.13E-09,2.08E-09
6,3.86E-11,4.20E-10,0.9999999,6.38E-08,2.32E-17,6.03E-17,1.13E-13,2.33E-10,5.92E-09,9.49E-15
7,1,1.14E-14,5.78E-11,5.33E-15,7.27E-14,9.58E-12,3.76E-09,2.32E-13,3.58E-10,9.01E-10
8,2.41E-14,1,8.29E-12,3.73E-15,3.13E-08,3.06E-12,1.43E-12,7.20E-09,1.85E-11,2.32E-11
9,7.07E-22,5.90E-23,9.63E-18,2.63E-19,1.34E-18,1.00E-16,4.19E-22,2.69E-20,1,1.92E-19
10,8.50E-10,6.60E-08,1.43E-09,1.23E-08,4.19E-10,9.93E-11,7.06E-14,0.9999999,5.45E-11,4.65E-08
11,6.72E-13,1.69E-15,5.54E-12,1.48E-10,5.26E-07,5.66E-10,6.34E-17,6.17E-08,0.00277965,0.9972198
12,1.56E-11,0.9999999,1.06E-10,4.04E-15,6.59E-08,1.83E-10,1.11E-09,9.40E-09,9.94E-11,1.11E-11
13,1.62E-18,1.37E-13,3.26E-16,6.28E-19,1,1.05E-14,8.80E-18,3.57E-14,3.18E-14,2.43E-08
14,1.09E-11,2.47E-09,4.82E-09,5.91E-08,5.47E-14,2.30E-13,3.30E-16,0.9999999,9.63E-12,3.82E-08
15,1.91E-11,9.08E-14,8.05E-13,4.22E-08,1.40E-11,0.9999759,1.84E-05,2.07E-12,2.46E-07,5.50E-06
16,5.72E-11,4.25E-09,5.22E-11,1.65E-08,3.07E-05,1.73E-05,9.85E-09,1.91E-08,4.64E-06,0.9999472
17,3.64E-11,5.04E-15,5.76E-12,2.32E-14,2.47E-10,5.34E-10,1,1.07E-20,2.20E-09,1.57E-13
18,6.18E-12,2.32E-13,3.86E-12,6.29E-17,1.43E-07,1.84E-10,0.9999999,1.02E-20,1.92E-08,2.43E-14
19,7.23E-13,2.39E-11,6.06E-10,1,1.12E-13,8.58E-09,2.06E-13,3.39E-10,1.24E-10,3.44E-11
20,1.16E-19,3.87E-17,1.11E-15,8.77E-16,2.39E-16,2.04E-12,1.82E-16,5.70E-19,1,1.60E-13
21,8.99E-18,2.26E-16,4.23E-15,2.83E-12,2.47E-08,1.14E-11,4.34E-20,3.64E-10,3.36E-09,1
22,1.44E-20,2.37E-18,1,1.18E-14,3.39E-16,7.98E-23,4.04E-19,1.69E-19,6.40E-11,1.17E-20
23,1.19E-12,1,2.97E-13,1.99E-15,1.00E-08,4.15E-09,1.89E-08,1.67E-11,1.75E-09,1.84E-12
24,1.96E-10,1.74E-09,0.99986005,0.000128644,2.69E-12,4.07E-11,1.31E-11,1.03E-05,1.03E-06,3.86E-11
25,1.02E-08,1.17E-11,2.60E-14,1.03E-15,2.13E-06,2.60E-09,0.99999785,1.07E-16,3.24E-09,8.42E-13
26,1,1.85E-14,7.90E-10,4.43E-15,2.85E-14,2.55E-15,2.55E-10,5.47E-14,1.40E-10,2.08E-12
27,2.72E-15,0.9999995,4.07E-14,1.97E-16,4.58E-07,2.17E-11,4.91E-12,1.05E-09,7.49E-11,2.35E-10
28,1.90E-12,4.53E-16,3.47E-19,2.59E-21,1.19E-12,3.01E-13,1,1.26E-24,9.23E-13,4.80E-19
29,4.66E-15,1,4.00E-14,5.25E-17,3.95E-09,1.72E-12,7.75E-13,1.58E-10,3.89E-12,1.31E-12
30,1.60E-16,6.06E-15,5.08E-16,3.35E-10,7.73E-14,1,1.12E-08,2.45E-15,1.40E-10,1.60E-10
31,1.37E-15,3.73E-10,1,2.39E-10,1.05E-16,9.89E-17,1.88E-13,1.96E-13,1.30E-10,8.03E-17
32,1.55E-12,9.77E-12,1.20E-20,2.96E-10,6.44E-16,1,8.04E-15,1.31E-14,2.13E-09,1.20E-09
33,3.86E-16,1.28E-18,1,3.08E-13,6.22E-16,4.00E-21,2.34E-18,7.34E-17,1.29E-12,3.12E-18
34,2.27E-13,4.42E-17,1.29E-15,3.53E-16,1.69E-12,1.89E-10,1,7.22E-24,9.79E-11,3.75E-15
35,6.29E-18,2.28E-13,3.51E-19,9.06E-18,3.83E-07,2.87E-12,5.70E-12,7.34E-20,0.99999964,1.85E-14
36,8.51E-12,1.67E-14,1.60E-10,1.81E-09,2.42E-09,3.11E-11,2.27E-11,1.25E-13,1,3.92E-08
37,9.96E-14,3.06E-20,4.84E-12,1.10E-09,8.98E-16,3.49E-09,3.56E-14,7.34E-18,1,4.40E-10
38,5.98E-15,9.04E-13,0.9999999,1.66E-07,9.26E-16,1.02E-14,2.18E-14,2.82E-09,1.50E-08,1.83E-14
39,2.52E-16,6.30E-20,2.56E-14,1.05E-13,2.44E-16,3.09E-14,2.15E-19,7.89E-17,1,1.38E-10
40,2.71E-09,4.43E-15,1.64E-09,1.68E-07,7.23E-13,1.25E-07,1.38E-08,4.83E-14,0.99999964,4.40E-10
41,1.13E-10,2.05E-13,1.01E-13,1.33E-19,4.66E-08,2.97E-14,1,5.43E-22,9.45E-12,3.77E-15
42,4.14E-09,0.99993026,8.32E-07,3.11E-09,1.69E-06,2.35E-09,4.27E-10,6.68E-05,4.58E-08,2.98E-07
43,1.67E-16,1.81E-19,1.64E-24,5.70E-11,7.39E-19,1,3.90E-13,2.39E-20,8.72E-14,7.75E-12
44,4.65E-11,1,1.75E-09,2.36E-13,6.52E-09,2.55E-10,1.86E-09,6.98E-09,1.08E-09,7.44E-12
45,5.14E-14,1.28E-13,1,9.52E-10,3.93E-10,2.11E-14,7.56E-13,1.88E-14,1.19E-08,5.41E-13
46,1.77E-06,6.91E-08,1.63E-08,2.28E-09,2.56E-07,0.000283122,0.99935025,5.89E-13,0.000364394,5.03E-08
47,1.34E-12,1.23E-12,4.03E-14,1.59E-16,7.40E-09,2.88E-11,1,1.15E-20,6.25E-11,1.35E-15
48,5.19E-13,7.68E-19,5.48E-20,1.13E-22,1.50E-13,2.31E-13,1,2.26E-26,1.64E-12,1.13E-19
49,6.76E-16,1.25E-11,1.11E-13,1,2.88E-14,1.32E-09,2.98E-16,1.26E-12,5.96E-11,1.16E-10
50,1.10E-06,1.10E-12,1.45E-07,3.67E-06,1.85E-10,7.54E-07,5.51E-08,5.25E-12,0.99999404,2.22E-07
51,3.82E-18,8.51E-14,1.93E-16,2.65E-16,1,3.40E-14,4.19E-17,6.06E-14,4.41E-10,5.52E-12
