-1,0,1,2,3,4,5,6,7,8,9
0,4.29E-14,2.33E-14,1.40E-10,1,1.43E-15,1.66E-10,1.26E-14,5.41E-11,3.04E-10,1.10E-12
1,1.57E-19,5.48E-18,2.79E-21,4.72E-13,8.82E-16,1,2.48E-14,3.62E-18,9.14E-10,3.06E-10
2,4.54E-13,5.98E-11,1.07E-13,6.73E-05,6.29E-09,0.9999316,3.37E-08,1.16E-10,5.04E-07,6.65E-07
3,5.79E-13,4.03E-09,0.99999964,3.09E-07,6.87E-10,1.93E-13,6.65E-13,1.04E-08,3.47E-10,1.79E-13
4,5.93E-09,6.01E-07,1.14E-10,1.58E-09,3.78E-07,2.93E-05,0.99996674,1.29E-13,2.93E-06,2.35E-11
5,2.04E-10,1.22E-05,1.46E-11,1.01E-05,1.00E-09,0.99828017,1.45E-10,2.15E-08,0.001539788,0.000157762
6,1.97E-21,3.19E-12,9.71E-17,7.94E-20,1,1.24E-15,1.53E-18,3.69E-11,1.69E-13,3.18E-12
7,3.79E-11,3.84E-12,1.60E-14,1.62E-15,9.77E-09,1.30E-10,1,1.58E-18,1.97E-10,4.03E-14
8,5.61E-11,1.39E-11,2.93E-14,1.91E-15,5.12E-09,2.33E-09,1,2.00E-18,1.99E-11,4.50E-15
9,2.19E-18,2.69E-11,2.94E-08,2.53E-07,1.88E-10,1.33E-15,5.16E-19,0.99999976,6.74E-13,3.64E-10
10,3.64E-23,3.00E-19,1.73E-18,1,1.18E-22,9.13E-14,4.25E-22,2.37E-15,4.61E-15,3.46E-15
11,6.79E-10,1.44E-11,1.37E-14,1.01E-08,8.08E-11,0.9999814,1.82E-05,5.15E-11,4.65E-08,4.46E-07
12,1.03E-13,0.9999995,4.08E-11,4.55E-13,3.26E-07,1.49E-10,2.53E-12,1.63E-07,1.26E-09,1.18E-09
13,2.72E-21,1.62E-14,9.13E-14,1,5.67E-19,1.02E-11,4.55E-21,1.63E-10,2.62E-10,1.33E-12
14,7.96E-12,0.999998,1.34E-10,1.20E-13,2.04E-06,3.77E-10,1.37E-08,5.37E-09,5.23E-09,2.76E-09
15,0.99606603,1.66E-11,5.18E-07,5.92E-09,4.37E-07,4.68E-08,2.54E-07,1.21E-07,2.05E-07,0.003932492
16,0.9999995,4.55E-12,1.18E-08,2.95E-10,3.60E-12,7.90E-10,8.62E-10,7.14E-08,3.51E-07,1.59E-10
17,8.13E-15,2.40E-10,6.15E-15,9.88E-17,0.99999213,2.24E-11,3.78E-12,5.12E-13,6.65E-12,7.85E-06
18,2.82E-14,1.01E-08,4.25E-12,5.26E-13,0.9999994,3.11E-11,5.83E-12,2.96E-08,5.39E-07,9.00E-11
19,1.51E-14,4.80E-16,2.84E-10,9.08E-10,1.46E-10,6.22E-11,1.53E-17,3.36E-10,0.99999976,1.81E-07
20,5.35E-12,7.38E-07,0.000201574,6.59E-05,2.27E-07,1.03E-10,4.04E-14,0.9997131,1.38E-07,1.83E-05
21,1.99E-18,5.65E-20,1.62E-12,2.10E-12,6.23E-20,2.33E-16,2.82E-21,4.10E-14,1,2.53E-14
22,9.30E-19,2.00E-14,8.36E-17,1,3.49E-17,1.10E-10,2.10E-20,6.54E-14,1.64E-13,1.20E-10
23,4.75E-24,2.33E-13,7.17E-20,5.05E-26,1,1.74E-18,7.83E-18,1.74E-15,3.94E-17,5.25E-15
