-1,0,1,2,3,4,5,6,7,8,9
0,1.71E-16,1,1.90E-13,2.27E-16,2.59E-09,1.79E-11,5.33E-12,9.39E-13,1.66E-11,2.57E-13
1,5.09E-13,6.02E-12,4.27E-11,1,9.24E-14,1.27E-08,7.44E-15,1.18E-10,4.86E-11,7.82E-11
2,1.72E-09,5.34E-12,8.51E-12,1.20E-11,4.29E-12,4.25E-11,1.05E-16,1,2.42E-11,2.38E-08
3,1.36E-16,8.00E-14,7.30E-15,1.58E-08,1.35E-12,1,1.09E-10,4.28E-16,6.52E-14,1.88E-13
4,1.76E-18,3.50E-15,1.69E-20,2.36E-10,4.09E-18,1,3.29E-15,3.81E-18,3.96E-11,2.86E-11
5,1.25E-18,1.86E-16,3.78E-14,8.13E-17,1.17E-17,1.02E-14,2.33E-15,1.38E-21,1,8.49E-16
6,8.55E-12,1.20E-09,3.60E-10,6.32E-12,1.14E-12,1.31E-12,3.91E-13,5.62E-14,1,8.67E-11
7,1.51E-14,4.80E-16,2.84E-10,9.08E-10,1.46E-10,6.22E-11,1.53E-17,3.36E-10,0.99999976,1.81E-07
8,3.94E-09,4.10E-06,3.09E-07,4.00E-07,3.95E-08,9.37E-10,3.23E-12,0.99998915,2.06E-09,6.11E-06
9,3.94E-13,4.28E-08,7.85E-11,5.46E-09,1.09E-08,2.26E-11,8.15E-16,1,1.48E-09,6.87E-09
10,4.25E-23,5.81E-14,6.09E-20,7.36E-23,1,1.02E-17,2.08E-19,4.30E-14,1.39E-14,1.16E-12
11,7.96E-15,8.42E-10,2.14E-12,7.20E-11,4.40E-13,3.19E-14,2.90E-19,1,7.93E-15,9.55E-11
12,4.53E-12,0.9998925,4.81E-07,9.41E-10,1.63E-06,3.12E-11,3.61E-10,0.000105353,9.72E-09,5.21E-09
13,5.30E-19,7.01E-14,4.95E-14,7.27E-24,1,2.92E-16,1.12E-15,1.52E-15,7.36E-19,1.92E-13
14,7.08E-11,3.28E-11,6.43E-13,2.42E-11,1.42E-05,1.12E-10,2.26E-13,2.52E-07,2.59E-08,0.9999856
15,0.9999511,2.61E-12,1.50E-08,9.87E-10,5.44E-09,1.49E-07,4.86E-05,2.55E-09,1.35E-08,8.20E-08
16,1,1.38E-11,2.07E-09,1.34E-13,4.59E-12,9.55E-14,8.02E-10,2.89E-13,1.75E-09,1.23E-11
17,2.53E-17,9.88E-20,6.90E-12,1.58E-12,2.18E-14,6.74E-11,3.15E-17,8.47E-16,1,1.14E-09
18,1.54E-10,0.9999999,1.06E-10,6.82E-14,7.39E-08,8.15E-11,8.96E-10,2.80E-09,1.06E-08,2.05E-10
19,1.01E-16,2.42E-16,2.06E-18,6.23E-10,2.45E-14,1,3.10E-11,1.30E-16,5.84E-10,6.03E-09
20,1.60E-12,7.31E-13,1.21E-14,8.46E-17,2.32E-08,8.48E-11,1,2.63E-20,6.89E-12,2.60E-16
21,1.55E-17,6.82E-17,3.23E-18,9.06E-13,5.29E-09,4.63E-13,1.36E-19,8.98E-11,1.24E-09,1
22,3.57E-10,0.99999595,1.76E-07,1.75E-10,1.64E-06,2.08E-09,2.92E-09,2.13E-06,1.47E-07,1.41E-08
23,0.9999447,1.28E-07,3.78E-06,2.54E-08,1.35E-08,1.47E-07,1.57E-05,7.20E-08,3.54E-05,8.54E-08
24,2.29E-15,1.14E-11,2.92E-08,0.99974734,7.21E-15,4.85E-11,2.37E-15,0.000252559,1.24E-07,3.43E-08
25,6.01E-12,4.06E-07,0.99999964,1.08E-08,3.01E-15,1.76E-15,3.18E-15,2.14E-08,5.41E-09,6.50E-13
26,2.89E-12,1,3.69E-10,8.41E-15,4.22E-10,2.62E-11,4.55E-10,5.78E-11,2.14E-10,1.47E-13
27,1,7.25E-15,5.10E-11,3.02E-12,3.60E-14,3.18E-10,3.54E-10,8.92E-12,2.65E-09,3.82E-10
28,9.93E-11,3.37E-13,1.78E-07,0.9999995,4.09E-14,1.28E-09,1.43E-12,7.36E-10,3.09E-07,7.77E-10
29,1.65E-19,1.41E-15,3.59E-17,5.66E-22,1,1.19E-16,3.21E-18,5.91E-15,1.63E-17,4.51E-12
30,1.23E-06,1.31E-10,0.000137156,0.9998585,2.42E-12,9.81E-07,6.70E-11,1.25E-06,6.55E-07,1.75E-07
31,9.72E-08,9.43E-09,6.25E-07,3.03E-06,3.58E-13,2.52E-10,1.54E-13,0.9999958,6.59E-08,2.92E-07
32,2.92E-14,1.79E-07,5.35E-10,7.79E-09,6.17E-11,6.69E-13,5.78E-17,0.99999976,1.06E-11,2.36E-08
33,1.96E-10,1.00E-07,0.99477696,0.002873548,1.32E-13,4.01E-10,2.54E-12,0.001175293,0.001173992,2.10E-09
34,1.91E-12,3.18E-14,1.33E-13,4.05E-09,1.65E-06,1.18E-08,1.78E-14,1.84E-08,4.09E-06,0.9999943
35,0.9999995,2.31E-14,1.10E-10,1.34E-10,1.60E-12,2.15E-08,4.94E-07,1.28E-08,2.33E-09,2.78E-09
36,5.89E-12,1,1.48E-11,4.04E-14,1.08E-08,3.71E-10,5.13E-09,5.99E-11,2.19E-09,5.94E-12
37,1.54E-15,1.14E-11,1,3.37E-09,2.52E-19,8.08E-19,9.09E-18,3.37E-11,7.30E-11,2.07E-17
38,3.37E-13,1.25E-13,1.85E-13,3.08E-08,2.82E-06,2.69E-07,4.38E-15,3.57E-07,1.78E-06,0.99999475
