-1,0,1,2,3,4,5,6,7,8,9
0,1,1.01E-13,1.37E-09,3.12E-14,2.86E-13,4.06E-14,2.88E-10,4.25E-13,1.16E-09,9.18E-12
1,1.62E-13,1.56E-12,0.99989784,8.41E-07,1.90E-17,3.97E-14,4.09E-13,2.39E-10,0.000101313,1.55E-15
2,4.17E-17,8.83E-13,3.72E-13,1,1.85E-17,1.51E-11,1.76E-19,3.25E-12,5.98E-12,1.04E-10
3,3.67E-13,1.49E-09,1.39E-11,1.25E-07,6.04E-07,1.02E-06,1.93E-08,2.37E-09,0.9999982,1.60E-10
4,2.04E-17,6.34E-10,1.28E-13,1.12E-13,1,1.00E-08,1.60E-12,7.03E-10,4.06E-10,6.10E-10
5,4.71E-17,6.31E-16,5.92E-17,2.68E-11,3.38E-08,1.45E-08,1.01E-14,7.68E-12,1.72E-08,1
6,1.26E-17,9.24E-18,3.76E-19,9.66E-13,4.30E-17,1,2.93E-12,8.88E-17,1.73E-11,2.10E-12
7,4.23E-16,1,7.60E-14,8.52E-18,6.80E-10,2.16E-12,4.21E-12,2.01E-13,5.58E-12,4.56E-14
8,4.62E-13,3.50E-14,3.17E-13,5.51E-11,2.60E-05,5.15E-11,1.46E-15,3.62E-10,1.04E-08,0.999974
9,1.44E-06,5.68E-10,3.95E-10,9.83E-14,5.05E-06,2.67E-09,0.99999356,5.15E-14,6.78E-10,3.50E-09
10,2.90E-12,7.09E-11,1.35E-13,6.13E-10,6.70E-05,5.89E-10,1.70E-13,1.68E-07,2.44E-07,0.9999325
11,8.28E-18,1.72E-19,5.23E-13,0.9999999,1.76E-17,7.12E-08,5.67E-17,1.32E-15,5.17E-10,2.96E-12
12,7.64E-13,7.39E-09,5.08E-10,0.9999988,9.16E-11,1.18E-06,8.67E-12,2.08E-08,1.27E-08,3.42E-10
13,1.75E-13,1.00E-20,1,1.92E-12,8.63E-15,3.67E-20,7.26E-16,5.68E-20,1.34E-09,4.86E-17
14,3.61E-17,1.44E-18,1.12E-21,7.04E-12,8.08E-15,1,3.48E-14,1.26E-18,9.87E-14,1.69E-13
15,2.73E-12,1,1.42E-10,1.35E-14,2.25E-09,3.15E-12,2.70E-12,6.17E-10,2.63E-11,1.56E-11
16,3.54E-07,1.53E-09,6.87E-10,9.62E-12,0.000797743,4.63E-07,0.99920124,5.66E-12,2.10E-08,2.07E-07
17,3.58E-10,4.65E-15,2.42E-12,1.40E-09,1.86E-12,2.06E-10,4.06E-11,4.17E-17,1,8.89E-09
18,2.24E-14,1.57E-07,1.50E-10,1.99E-10,2.08E-10,8.70E-14,2.01E-17,0.9999999,5.04E-13,2.35E-09
19,5.11E-10,2.22E-11,1.14E-10,3.30E-11,2.69E-08,8.88E-11,4.12E-11,1.68E-08,1.38E-06,0.99999857
20,4.66E-09,3.22E-10,1.76E-11,4.20E-09,3.15E-09,9.54E-06,5.24E-08,1.43E-11,0.9999888,1.57E-06
21,1.07E-10,1.25E-15,8.68E-14,6.59E-15,9.67E-11,2.62E-09,1,6.38E-21,5.85E-09,4.01E-14
22,1.16E-22,1.10E-18,1.20E-15,2.84E-16,1.44E-13,4.99E-15,2.35E-18,4.32E-19,1,2.46E-16
23,1,1.33E-13,3.45E-08,1.95E-13,8.59E-12,6.00E-14,7.87E-09,5.27E-14,1.14E-08,8.25E-12
24,9.05E-16,1,4.98E-15,1.54E-17,1.40E-09,4.56E-13,5.04E-14,1.78E-10,9.45E-13,2.63E-13
25,1.19E-08,0.9999409,4.75E-08,9.61E-10,5.01E-05,2.74E-07,1.19E-08,4.56E-06,2.20E-06,2.00E-06
26,1.88E-18,1.06E-09,6.79E-07,2.00E-08,4.63E-11,8.55E-17,3.40E-19,0.9999993,1.62E-10,4.43E-12
27,5.83E-13,1,2.93E-11,2.80E-14,1.20E-09,2.00E-11,1.80E-11,4.63E-09,4.68E-11,1.21E-12
28,6.92E-18,4.63E-14,3.52E-12,1,8.75E-15,2.07E-10,1.30E-15,5.77E-11,5.25E-10,2.67E-12
29,0.99999964,1.81E-13,1.83E-09,2.17E-10,1.00E-11,2.68E-09,4.69E-09,1.84E-09,4.00E-07,8.22E-09
30,1.80E-11,9.15E-16,9.02E-13,3.42E-12,1.87E-13,3.29E-05,0.999966,2.37E-19,1.13E-06,1.81E-11
31,2.03E-15,1.13E-20,1,2.87E-12,8.58E-18,2.61E-19,1.09E-16,5.69E-17,3.69E-11,1.47E-19
32,2.72E-19,4.99E-14,7.81E-16,7.17E-17,1,9.20E-14,7.53E-19,1.71E-14,2.04E-13,1.98E-09
33,1.46E-07,1.06E-06,0.000434658,9.56E-11,0.000226452,6.96E-07,0.9993368,5.37E-13,9.12E-08,8.20E-10
34,8.16E-06,5.20E-08,2.52E-09,1.60E-09,8.25E-07,7.92E-09,2.09E-10,0.99998355,2.02E-07,7.25E-06
35,9.27E-10,1.59E-06,7.98E-09,1.96E-06,0.000585736,1.73E-06,7.91E-11,0.00010842,0.00024895,0.99905163
36,2.16E-18,8.20E-20,7.47E-15,5.95E-14,1.37E-20,2.89E-13,8.76E-20,1.50E-18,1,1.09E-14
37,1,4.86E-13,1.61E-08,4.40E-12,4.90E-10,2.26E-13,2.49E-08,1.20E-12,4.78E-09,8.42E-09
38,1.37E-13,7.05E-11,1.95E-13,1.55E-10,0.001896258,5.25E-10,1.00E-13,1.53E-09,1.05E-08,0.99810374
39,4.80E-11,1,4.51E-11,1.87E-14,2.71E-08,4.30E-11,3.02E-09,2.03E-09,3.63E-09,2.81E-11
40,3.63E-08,3.72E-10,2.73E-10,1.11E-10,4.58E-10,5.14E-08,0.99999917,1.30E-15,8.94E-07,9.58E-13
41,8.22E-19,8.50E-18,1.79E-19,1.84E-10,4.33E-16,1,2.60E-12,2.61E-17,6.61E-12,6.73E-11
42,5.50E-12,8.40E-11,3.12E-13,1.19E-10,4.30E-05,5.89E-10,1.11E-12,3.65E-09,3.14E-05,0.9999256
43,1.08E-10,1.49E-11,1.62E-13,6.01E-15,4.41E-07,2.01E-10,0.9999995,2.24E-17,8.95E-11,3.86E-13
44,3.15E-12,9.13E-09,3.54E-09,5.59E-09,7.14E-12,1.04E-13,2.02E-16,1,4.71E-13,4.17E-09
45,1.76E-15,1.22E-13,1.79E-13,2.40E-17,1,3.21E-14,3.33E-17,7.90E-13,1.73E-15,5.58E-09
46,5.78E-13,1.50E-12,1,3.72E-08,6.88E-14,5.94E-15,3.54E-14,1.81E-10,4.03E-08,1.69E-14
47,3.23E-11,0.9999999,3.48E-11,1.64E-14,9.28E-08,4.81E-10,6.50E-09,9.11E-09,2.26E-09,1.18E-11
48,3.45E-22,1.34E-14,5.89E-16,5.21E-23,1,1.44E-18,2.10E-18,2.86E-13,9.94E-17,3.97E-16
49,3.82E-07,0.9999801,7.16E-07,3.56E-10,5.63E-07,7.03E-07,1.69E-05,1.92E-07,4.46E-07,8.69E-09
50,4.59E-21,2.29E-17,6.42E-17,1,3.25E-21,3.49E-14,2.41E-22,2.69E-14,2.37E-14,1.94E-13
51,1,1.02E-12,1.60E-08,1.26E-11,1.72E-11,1.26E-12,2.55E-09,6.54E-11,2.30E-08,5.26E-10
52,5.04E-11,0.9999993,7.80E-08,4.67E-12,5.10E-07,4.05E-10,6.39E-09,1.17E-07,9.08E-09,1.18E-09
53,1.84E-12,8.93E-09,4.71E-12,1.60E-11,1.56E-07,8.22E-12,4.90E-15,0.9999999,1.11E-12,9.60E-09
54,2.53E-21,1.07E-13,4.96E-19,5.11E-20,1,2.49E-16,6.44E-18,1.16E-12,5.66E-12,2.17E-10
55,2.01E-14,1.85E-17,2.04E-15,2.36E-10,2.51E-10,9.94E-12,4.79E-17,3.56E-08,3.87E-09,1
56,1.39E-15,4.49E-15,4.48E-15,7.47E-13,3.58E-07,6.57E-12,1.41E-16,3.62E-12,2.10E-08,0.99999964
57,2.54E-06,8.20E-06,0.00040285,4.12E-05,9.99E-10,1.89E-08,1.28E-10,0.9995442,6.26E-07,2.90E-07
58,9.20E-14,1.20E-12,1,7.83E-10,1.01E-16,1.86E-18,8.92E-16,1.10E-10,7.82E-10,2.83E-16
59,5.22E-12,2.21E-18,8.67E-19,9.94E-22,2.18E-11,4.05E-13,1,6.82E-25,1.95E-12,4.78E-18
60,1.91E-07,1.68E-13,5.95E-07,0.002235684,7.35E-06,4.76E-05,4.46E-09,3.09E-10,0.9923592,0.00534937
61,2.98E-07,0.000243973,3.07E-06,3.26E-05,0.06554457,0.000691644,4.50E-06,0.9334337,2.93E-06,4.27E-05
62,1.41E-15,3.88E-13,3.55E-14,1.78E-13,1.07E-05,3.09E-12,1.44E-18,1.09E-09,4.77E-07,0.9999889
63,4.15E-12,0.9999999,2.01E-10,1.84E-14,1.13E-07,4.85E-11,1.15E-09,1.08E-08,4.78E-10,1.46E-11
64,1.76E-11,1,1.49E-10,3.14E-14,6.86E-09,3.15E-10,2.44E-09,7.14E-10,1.31E-09,3.58E-12
65,9.76E-12,1,1.07E-10,8.31E-15,4.63E-08,5.42E-11,1.47E-10,1.12E-08,5.31E-11,1.50E-11
66,1.20E-12,4.20E-15,8.31E-14,1.97E-18,9.38E-10,2.74E-13,1,1.17E-22,6.88E-12,2.92E-15
67,0.9999993,5.11E-10,7.18E-11,3.50E-12,2.74E-11,1.02E-07,5.11E-07,2.53E-10,8.52E-08,1.95E-10
68,1,3.67E-14,4.18E-09,3.25E-13,3.99E-12,1.76E-13,1.26E-09,2.64E-12,3.63E-10,8.25E-10
69,4.49E-17,1.06E-12,1.61E-15,1,7.82E-14,8.26E-09,7.73E-18,5.24E-12,9.58E-12,4.54E-13
70,1.10E-18,1.53E-15,1.34E-14,1.05E-16,1,3.75E-16,3.94E-21,2.88E-11,1.27E-15,7.68E-11
