-1,0,1,2,3,4,5,6,7,8,9
0,9.36E-15,1.16E-15,7.24E-20,1.14E-10,2.82E-15,1,1.18E-10,2.53E-18,1.08E-10,1.31E-08
1,7.46E-20,4.81E-20,9.22E-26,3.50E-14,4.41E-17,1,6.60E-16,4.61E-19,7.00E-15,8.66E-14
2,7.50E-12,3.52E-06,8.78E-08,2.48E-07,5.85E-12,1.29E-12,1.86E-15,0.9999957,5.16E-09,4.50E-07
3,1,1.31E-14,3.84E-11,2.11E-14,8.94E-14,6.89E-11,2.75E-08,8.27E-14,2.73E-09,4.30E-11
4,1.39E-22,6.90E-14,5.31E-21,1.13E-24,1,4.17E-18,6.58E-18,9.80E-16,3.57E-15,4.48E-13
5,1.07E-13,8.23E-10,8.44E-09,1.26E-09,1.78E-14,3.14E-15,5.20E-18,1,2.77E-13,3.47E-10
6,5.67E-14,2.83E-15,1.85E-14,3.76E-12,3.34E-08,7.04E-13,6.75E-16,9.20E-10,1.87E-09,1
7,4.26E-10,6.25E-14,1.97E-10,4.77E-08,8.27E-12,6.59E-10,8.16E-10,1.89E-16,1,1.11E-08
8,9.68E-09,1.13E-12,7.89E-10,3.85E-07,5.64E-06,2.87E-08,3.13E-10,2.62E-07,1.41E-07,0.99999356
9,4.85E-21,1.31E-19,3.58E-16,2.06E-16,4.41E-18,1.79E-15,1.16E-17,3.54E-21,1,2.12E-15
10,6.03E-12,9.45E-15,1.01E-13,4.68E-16,1.98E-10,6.95E-10,1,4.07E-22,9.06E-10,1.71E-12
11,7.31E-15,5.52E-16,1.98E-11,2.91E-12,6.08E-12,2.49E-11,3.21E-16,3.27E-12,1,1.51E-10
12,1,9.94E-14,1.44E-10,2.09E-14,8.04E-13,1.03E-10,2.44E-08,5.17E-12,5.99E-09,6.25E-10
13,2.76E-19,1.78E-16,9.28E-13,1,6.29E-19,3.44E-12,1.13E-19,1.97E-14,1.18E-10,6.28E-13
14,1.59E-18,1.09E-13,1.31E-14,1,5.42E-17,2.77E-13,1.36E-20,2.95E-13,7.04E-14,3.30E-13
