-1,0,1,2,3,4,5,6,7,8,9
0,3.15E-05,0.000242963,0.9941607,0.004752485,0.00017382,8.17E-05,2.67E-05,0.000457299,6.21E-05,1.08E-05
1,5.11E-11,1.51E-07,1.73E-07,1.01E-07,1.54E-09,0.99999857,5.28E-07,7.06E-09,3.50E-08,4.47E-07
2,1.27E-08,1.28E-07,8.35E-10,2.78E-07,2.16E-08,1.14E-05,0.99998546,3.51E-08,2.75E-06,4.29E-09
3,3.92E-10,2.54E-08,2.09E-09,6.34E-11,1.05E-09,2.65E-06,0.99999726,2.62E-11,8.59E-08,4.33E-10
4,6.39E-05,0.004487914,0.000338634,0.001592027,3.73E-05,0.000258687,1.67E-06,0.9926514,1.73E-06,0.000566732
5,0.95165193,0.000204537,0.000775045,3.92E-05,2.62E-05,1.40E-05,0.042347603,1.50E-06,0.001763387,0.003176552
6,6.00E-08,5.90E-06,2.56E-07,3.61E-06,1.18E-07,0.99995947,1.55E-05,2.63E-07,8.31E-06,6.56E-06
7,0.000132311,0.983895,0.000207829,0.000354919,0.003798017,0.001100523,0.000412693,0.00996292,1.71E-05,0.000118708
8,0.000139506,0.000209563,0.99793005,0.000786072,8.17E-06,1.75E-05,7.41E-05,3.42E-05,0.00039487,0.000405977
9,3.38E-07,0.000258004,0.994712,0.000221415,7.00E-06,4.39E-06,7.91E-07,0.004794902,7.91E-07,4.13E-07
10,2.54E-07,4.06E-06,4.21E-05,1.03E-06,9.30E-08,9.54E-08,4.45E-05,5.20E-07,0.999816,9.14E-05
11,7.85E-09,6.99E-06,1.56E-06,3.67E-06,1.07E-07,0.9999789,4.84E-07,6.21E-06,8.42E-08,1.98E-06
12,1.07E-06,0.9993795,0.000179957,1.69E-05,0.000387059,2.52E-06,2.19E-06,2.25E-05,5.81E-06,2.53E-06
13,0.000802506,0.06254832,0.000141836,0.004980974,0.060078006,0.04523034,0.008820222,0.80126053,0.000472679,0.015664648
14,3.74E-06,7.43E-06,6.86E-08,1.34E-07,6.13E-08,8.69E-05,0.99956864,1.72E-09,0.000332832,8.20E-08
15,6.46E-07,0.000941118,0.000202821,1.77E-05,0.9986368,5.25E-06,5.09E-07,0.000166375,3.04E-06,2.58E-05
16,3.56E-05,3.35E-06,2.69E-07,1.66E-08,1.66E-08,1.35E-05,0.9999393,2.56E-08,7.75E-06,1.76E-07
17,4.18E-07,0.000150334,0.9982108,8.10E-05,2.49E-06,3.14E-06,9.72E-07,0.001526739,6.48E-06,1.77E-05
18,4.98E-10,5.01E-07,5.80E-10,6.96E-09,0.9999994,1.07E-08,3.45E-08,3.27E-09,6.60E-08,9.91E-08
19,0.001898821,0.97837824,0.005320075,0.000123647,0.000717341,6.22E-05,0.005422258,0.006541234,0.00136277,0.000173421
20,4.27E-08,5.00E-08,3.22E-10,8.98E-11,3.33E-09,2.12E-09,1,6.64E-10,2.71E-09,8.16E-11
21,1.71E-06,0.9999032,2.14E-05,4.00E-06,1.19E-07,4.19E-08,2.34E-07,6.63E-05,1.36E-06,1.66E-06
22,0.000533479,0.86447227,0.000962264,0.012198705,0.001305488,0.004287559,0.002668803,0.11081286,0.00174176,0.001016853
23,1.42E-07,0.000321269,4.74E-05,1.06E-05,2.56E-06,0.9995473,4.24E-06,5.77E-06,4.98E-07,6.02E-05
24,1.06E-06,0.000396945,2.58E-06,2.40E-05,3.01E-07,7.41E-08,9.48E-09,0.999574,1.46E-07,7.60E-07
25,8.74E-07,3.62E-06,0.000200578,3.52E-05,2.22E-07,4.84E-05,9.01E-06,7.88E-08,0.9994986,0.000203405
26,3.72E-05,1.07E-05,1.86E-06,6.94E-06,6.58E-08,3.13E-06,0.002301326,6.58E-09,0.9976078,3.09E-05
27,8.16E-08,0.000169349,3.36E-05,0.99979335,2.15E-07,3.27E-07,6.21E-08,9.28E-08,2.35E-06,4.76E-07
28,6.22E-05,0.001776548,0.9969612,0.000750476,1.91E-05,0.000289233,1.08E-05,6.96E-06,0.000109938,1.34E-05
29,1.09E-06,3.76E-06,6.98E-07,9.47E-07,2.76E-08,9.71E-08,1.00E-06,0.99999154,7.01E-08,7.48E-07
30,6.39E-08,2.03E-06,0.99997354,1.00E-05,1.57E-06,7.10E-08,1.65E-08,1.23E-05,2.97E-07,3.31E-08
31,9.10E-05,0.000921422,0.007557972,0.9565268,1.93E-05,0.004156848,2.09E-05,0.001843151,6.04E-05,0.028802149
32,2.00E-06,0.000156293,9.17E-07,0.000375565,2.33E-06,0.996494,0.00294271,1.53E-06,2.38E-05,9.68E-07
33,0.000153965,0.99860317,1.14E-05,3.89E-05,0.00059816,3.01E-05,2.98E-05,8.08E-05,9.16E-05,0.000362183
34,3.22E-09,1.57E-05,1.66E-06,2.21E-05,4.49E-06,0.9998971,2.16E-05,6.23E-07,2.13E-06,3.45E-05
35,0.026938416,0.001499898,0.06208747,0.8823769,3.96E-05,0.002194499,0.000695099,9.00E-05,0.005276538,0.018801644
36,2.10E-05,3.59E-05,0.000163596,0.00227043,1.61E-06,8.78E-05,9.71E-06,9.58E-06,0.001019811,0.9963805
37,3.85E-06,0.000475669,0.99943775,3.81E-05,2.45E-07,9.36E-09,4.98E-07,4.36E-05,1.62E-07,2.27E-07
38,2.40E-07,6.75E-09,2.34E-09,5.88E-10,2.03E-08,1.67E-08,0.99999964,5.77E-11,1.04E-07,3.64E-10
39,1.32E-08,1.71E-06,2.72E-06,5.11E-07,0.9999881,4.93E-06,9.76E-07,7.66E-08,3.89E-07,5.65E-07
40,9.76E-06,0.000161702,0.9991972,0.000299477,0.000282247,1.52E-05,8.17E-07,3.71E-06,2.72E-05,2.68E-06
41,0.99237496,0.004307814,0.000714635,6.72E-05,3.32E-06,1.61E-06,0.000607461,6.13E-05,2.21E-05,0.001839572
42,0.9999902,2.00E-08,2.56E-07,3.02E-08,4.22E-11,5.37E-10,6.18E-06,2.60E-09,3.06E-08,3.25E-06
43,2.09E-06,0.000161806,1.12E-06,1.09E-07,1.35E-07,0.000159954,0.9995906,4.13E-07,8.35E-05,2.37E-07
44,0.002407141,5.56E-05,5.59E-05,1.51E-05,0.002122646,7.69E-05,0.9916922,2.41E-06,0.00308787,0.000484199
45,4.07E-06,1.59E-07,2.54E-08,1.20E-09,6.02E-09,3.36E-07,0.9999926,6.55E-09,2.85E-06,3.24E-08
46,5.51E-08,1.38E-06,1.51E-08,2.44E-05,3.39E-08,1.55E-07,0.9998381,2.25E-10,0.000135775,1.25E-10
47,2.10E-05,0.97297937,0.025083117,0.001091139,0.000148567,4.43E-05,3.09E-05,8.61E-05,0.000402061,0.000113444
48,7.43E-05,0.96767396,0.000263115,0.005024882,0.000123131,0.018809725,0.001817678,0.000350227,0.005685101,0.000177952
49,1.09E-06,5.22E-06,0.001549479,2.44E-05,8.09E-06,5.53E-07,1.24E-05,0.9983834,8.73E-07,1.45E-05
50,4.56E-06,5.52E-05,3.16E-06,0.02370106,4.12E-05,0.9751314,0.000954381,5.74E-06,9.93E-05,3.94E-06
51,1.35E-06,3.08E-07,7.43E-09,1.13E-09,1.24E-09,2.77E-06,0.9999167,3.44E-09,7.88E-05,1.29E-07
52,1.63E-06,3.12E-06,1.34E-05,0.004247301,3.08E-07,0.9953849,2.27E-05,1.42E-06,4.63E-05,0.000278867
53,9.42E-06,0.000679433,0.000448597,0.65810263,1.25E-05,0.000208235,2.22E-06,0.000131861,0.00046255,0.33994249
54,1.03E-05,0.000174536,0.99978846,6.26E-06,1.53E-07,3.15E-08,6.60E-07,3.28E-07,1.68E-05,2.40E-06
55,2.77E-05,0.000981239,0.000118395,0.26647487,0.00014083,0.73166066,4.26E-05,5.82E-05,0.000203516,0.000292093
56,0.00010328,0.9992353,0.000122419,4.21E-06,0.000160055,3.37E-05,8.68E-06,0.000228909,5.74E-06,9.78E-05
57,0.99993336,1.07E-07,5.58E-07,1.64E-06,1.36E-09,1.38E-07,3.06E-05,3.43E-08,1.04E-07,3.35E-05
58,1.91E-07,1.50E-05,4.06E-05,1.38E-05,1.20E-05,0.9954926,0.004376372,1.32E-05,1.58E-06,3.46E-05
59,0.00821225,0.33474442,0.000983684,0.053690214,0.35310668,0.071458034,0.14066266,0.023860263,0.011025942,0.002255888
60,1.50E-06,0.9893098,0.004035502,0.005614946,0.000779872,0.000126107,3.06E-06,9.57E-05,2.89E-05,4.71E-06
61,4.45E-05,0.003121595,0.99629116,0.000392402,1.97E-06,7.75E-07,5.97E-06,4.13E-07,7.99E-05,6.14E-05
62,1.56E-05,0.000312995,0.9992488,0.000184463,0.000179367,2.55E-05,1.03E-06,3.06E-05,1.20E-06,3.49E-07
63,1.48E-10,2.04E-08,8.91E-08,0.99999905,3.89E-08,6.39E-07,1.13E-10,1.57E-07,3.93E-10,2.12E-09
64,2.54E-05,0.005825087,0.004057567,0.70695823,4.88E-05,0.005993052,0.000863659,0.000740162,0.14562838,0.12985961
65,1.50E-10,3.42E-06,4.59E-09,1.21E-08,0.99998295,9.37E-06,2.40E-07,1.63E-08,1.30E-06,2.60E-06
66,1.36E-07,2.86E-06,2.98E-07,3.17E-06,2.37E-08,1.43E-07,4.48E-09,0.9999931,1.28E-09,1.85E-07
67,7.57E-05,0.9991738,4.38E-06,3.44E-05,0.000334108,2.43E-05,0.000184529,3.62E-05,9.27E-05,3.97E-05
68,8.60E-06,1.87E-05,0.99983037,7.34E-06,3.61E-07,1.13E-06,2.34E-07,1.31E-05,2.27E-06,0.000117857
69,2.91E-06,0.00033925,9.55E-05,5.79E-06,0.99854916,7.80E-07,8.20E-05,0.000917963,9.45E-07,5.73E-06
70,0.01604134,3.10E-05,0.001866297,8.27E-06,3.12E-08,6.85E-07,1.56E-05,2.46E-06,0.00010904,0.98192525
71,1.27E-07,9.17E-06,5.25E-06,2.65E-05,6.47E-08,0.9999081,4.12E-05,7.27E-08,3.58E-07,9.20E-06
72,2.51E-06,1.17E-06,0.9999882,4.86E-06,1.89E-07,6.96E-07,9.20E-08,1.99E-06,2.65E-07,3.13E-08
73,6.01E-05,0.9977381,6.62E-05,4.00E-05,9.12E-05,0.00011756,3.43E-05,0.001473707,0.000349397,2.93E-05
74,2.65E-10,2.22E-06,3.38E-07,4.21E-08,2.08E-09,6.57E-10,6.05E-10,0.9999974,4.10E-10,3.49E-08
75,2.87E-07,1.51E-05,3.94E-05,0.000108998,3.93E-06,0.9996468,5.27E-05,1.40E-05,4.44E-05,7.44E-05
76,0.000130697,0.000108548,0.9996946,2.23E-05,2.19E-07,1.86E-05,4.45E-07,1.64E-07,4.14E-06,2.01E-05
77,6.23E-09,5.88E-05,0.001972633,0.9979589,5.50E-07,8.20E-08,1.45E-07,7.04E-07,5.77E-06,2.48E-06
78,1.84E-05,0.00012585,0.000160213,0.99820065,0.000895723,0.000194988,7.50E-06,6.35E-05,0.000321146,1.20E-05
79,0.000222872,2.02E-05,0.00018331,0.99918395,1.13E-06,1.59E-05,3.25E-05,8.17E-05,0.000245792,1.26E-05
80,0.007877923,0.94215745,0.004791809,0.001545926,0.007278099,0.000807639,0.000486654,0.001939272,0.029327635,0.003787598
81,0.000225958,4.49E-05,5.82E-05,0.000796179,0.000175176,2.89E-05,0.000912311,2.78E-08,0.9974268,0.00033146
82,0.001000001,0.000231121,0.65976244,2.06E-05,0.000375768,1.65E-05,1.03E-05,9.99E-07,0.000914254,0.33766806
83,6.76E-07,0.99573284,3.62E-05,3.16E-05,0.00410912,2.11E-05,2.42E-05,1.29E-05,9.97E-06,2.14E-05
84,3.56E-08,2.23E-06,0.9991861,0.000511474,7.25E-07,1.96E-07,2.73E-08,0.000299158,1.38E-07,4.08E-09
85,6.14E-10,4.23E-07,3.09E-08,1.00E-07,2.65E-09,0.99999654,2.80E-06,2.54E-08,3.65E-09,5.55E-08
86,5.62E-07,0.00023501,5.73E-05,0.9995697,1.46E-06,2.79E-05,1.66E-07,5.12E-05,1.22E-06,5.56E-05
87,4.45E-08,0.9999995,6.41E-08,4.22E-08,1.22E-07,4.18E-08,3.12E-08,5.93E-08,5.06E-08,9.45E-08
88,4.51E-05,0.001085863,0.9979377,0.000129674,7.34E-05,2.25E-05,2.24E-05,0.000361013,0.000272969,4.96E-05
89,1.95E-06,0.9997496,5.85E-05,2.01E-05,2.48E-05,6.49E-07,5.14E-06,0.000135124,4.03E-06,2.88E-07
90,1.16E-06,8.83E-05,0.99965584,2.69E-05,1.08E-05,3.71E-05,2.52E-06,0.000175498,1.51E-06,4.40E-07
91,1.56E-07,6.63E-06,1.26E-05,1.56E-05,1.56E-06,1.77E-06,0.000332431,1.50E-06,0.99962556,2.22E-06
92,6.15E-09,1.95E-06,3.21E-07,0.994228,1.63E-07,0.005767725,3.07E-07,8.29E-07,5.88E-07,1.64E-08
93,8.10E-07,7.61E-05,0.99828243,0.001577827,4.45E-07,1.06E-05,7.67E-08,4.19E-05,4.20E-06,5.42E-06
94,4.75E-07,7.89E-06,0.000109953,0.001199119,1.78E-06,2.48E-06,1.95E-05,3.54E-07,0.9986345,2.40E-05
95,3.19E-08,2.62E-06,2.87E-07,1.54E-06,1.34E-07,1.14E-07,2.75E-05,4.38E-10,0.9999653,2.39E-06
